Place ID,Name,Address,City,State,Zip,Phone,URL,Description,Type,Picnic,Family Friendly,Requires Reservations,Tasting Fee,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Photos,Snugabug Pick
WIN19,Cowgirl Winery,25 Pilot Rd,Carmel Valley,CA,93924,(831) 298-7030,https://cowgirlwinery.com,"Nestled in the sunny village of Carmel Valley, California, Cowgirl Winery brings a unique, but authentic experience in wine tasting. An old redwood barn marks the location of the charming tasting room along with chickens that roam the grounds during the day. Cowgirl winery was created to celebrate the past and present culture of Carmel Valley. The tasting room provides an atmosphere where visitors can sit, relax, and appreciate the beauty of wine along with the gorgeous view of the Carmel Valley Hills. There are picnic tables scattered across the yard where you can enjoy your picnic basket or order from their pizza menu they serve outside.",Wineries,Y,Y,N,Y,11:30,17,11:30,17,11:30,17,11:30,17,11:30,18,11:30,18,11:30,17,Y,
WIN20,Chouinard Winery,33853 Palomares Rd,Castro Valley,CA,94552,(510) 582-9900,chouinard.com,"Chouinard Winery is located in Palomares Canyon between Castro Valley and the Livermore wine country on the historic Cook Ranch. Chouinard's winery produces many wines including Malbec, Chardonnay, Barbera Rose, Cabernet, Chenin Blanc and Port. Visit the winery, taste the wine, listen to live music, or celebrate a special event, wedding or party in the vineyard. The winery is very beautiful surrounded by trees and vines with picnic tables scattered next to the grapes. Bring a picnic and taste wine under the 100 year old oak trees.",Wineries,Y,Y,Y,Y,,,,,,,,,,,12,17,12,17,Y,
WIN21,Picchetti Winery,13100 Montebello Rd,Cupertino,CA,95014,(408) 741-1310,http://www.picchetti.com/,"Picchetti Winery, started in the 1890s, is one of the oldest wineries in California. Located on a historic ranch in the Santa Cruz Mountains and only a short drive from Silicon Valley, Picchetti offers a variety of award winning wines. The Historic Tasting room is open daily from 11a.m. to 5p.m. for wine tasting and picnics. With access to Open Space hikes on nearby trails, you can explore the beautiful terrain while visiting the winery. For families there is plenty of space to have a picnic, grassy areas for children to run and even a little trail for a walk.   ",Wineries,,Y,N,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
WIN22,Viader Vineyards,1120 Deer Park Road,Deer Park,CA,94576, (707) 963-3816,www.viader.com,"Viader is a leading first growth Napa Valley estate established in 1986 and located at 1300ft on the eastern slopes of Howell Mountain. They consistently produce award winning, very limited production red wines and red Bordeaux-style blends. During a visit to this Howell Mountain vineyard and winery estate you can enjoy their wines on the terrace overlooking the vineyards and the beautiful Napa Valley. ",Wineries,N,Y,Y,Y,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,10,16:30,10,16:30,Y,
WIN23,Russian River Vineyards,5700 Gravenstein Hwy. No.,Forestville,CA,95436,(707) 887-3344,http://www.russianrivervineyards.com/,"Russian River Vineyards are located at the heart of the picturesque and historic Russian River Valley. The vineyards became a model for organic and sustainable agriculture practices and in 1987; Russian River Vineyards was one of the very first in Sonoma County to be certified organic. They have an onsite restaurant and are the only winery-based restaurant in the Russian River Valley, offering a Wine Country dining experience in an historic 1890s farmhouse. Good place to go with kids who can play outside while you wait for your food.",Wineries,Y,Y,N,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,Y
WIN24,Trione Vineyards and Winery,19550 Geyserville Avenue,Geyserville,CA,95441,(707) 814-8100,http://trionewinery.com/,"Trione Winery was established in 2005 designed specifically for crafting small lots of wine from their estate grapes grown in the Alexander Valley, Russian River Valley and Sonoma Coast appellations. Trione Winery sits beside a landmark 1908 stone winery. Now an event center, the iconic Old Stone Building is available for private parties and weddings.  Their tasting room is open Thursday through Monday, 10:00 AM to 5:00 PM. You can enjoy there the estate wines, a picnic overlooking Alexander Valley or play a little bocce. ",Wineries,Y,Y,N,Y,10,17,,,,,10,17,10,17,10,17,10,17,Y,
WIN25,Satori Cellars,2100 Buena Vista Ave,Gilroy,CA,95020,(408) 848-5823,www.satoricellars.com,"Satori Cellars features wines that are particularly well suited to the hot days and cool evenings of southern Santa Clara Valley, sandwiched between Silicon Valley and the Monterey Peninsula. They are known for their Zinfandel but also enjoy making Cabernet Sauvignon, Petite Sirah, Merlot, Syrah, Chardonnay and Cabernet Franc.   Satori is now open for
tasting and sales every weekend from noon to 5pm. Enjoy the new tasting area in front of the winery overlooking the labyrinth. Bring a picnic lunch, buy a bottle of wine and enjoy a picnic at the colorful and fun tables scattered amongst the nearby Zinfandel vines.
Children are welcome.",Wineries,Y,Y,Y,,,,,,,,,,,,12,17,12,17,Y,
WIN26,Thomas Kruse Winery,3200 Dryden Ave,Gilroy,CA,95020,(408) 842-7016,www.thomaskrusewinery.com,"Thomas Kruse Winery is a small family winery producing only 2500 cases of wine annually. It is nestled up against the east foothills of Gilroy along a rural country road. They started in 1998 when they planted 12 acre vineyard of Cabernet Sauvignon, Merlot, Zinfandel and Chardonnay. In 2003 they constructing a new winery building and opened for business. The setting of the winery is friendly and relaxed. You can bring a picnic lunch and enjoy the quiet peaceful surroundings. You can taste wine and take an informative tour. ",Wineries,Y,Y,N,,,,12,17,12,17,12,17,12,17,12,17,12,17,Y,
WIN27,B.R. Cohn Winery,15000 Sonoma Hwy,Glen Ellen,CA,95442,800-330-4064 ext.124,brcohn.com,"B.R. Cohn Winery is a midsized boutique family winery in Sonoma Valley, California. Situated just one hour north of San Francisco the vineyards are nestled between the Mayacamas and Sonoma Mountains. Bruce Cohn, manager of the California rock band, The Doobie Brothers, purchased the original area in 1974. He named the property the Olive Hill Estate Vineyards after the grove of 145-year-old olive Picholine Olive trees, from which he continues to make ultra-premium olive oil. The winery is known for their cabernet sauvignon, chardonnay, merlot, pinot noir and award winning gourmet estate olive oils, vinegars and specialty gourmet food products. You can enjoy a tour, tasting and a picnic on the outside tables. ",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN28,Benziger Family Winery,1883 London Ranch Rd,Glen Ellen,CA,95442,888-490-2739,www.benziger.com,"Benziger Family Winery is a family owned winery that for more than thirty years has farmed their ranch on Sonoma Mountain and searched Sonoma County for the most distinctive and expressive vineyards. Benziger Sonoma Mountain Estate transitions from conventional to Biodynamic farming in 1995. Five years later, the Estate was officially certified as a Biodynamic Farm. Now all Benziger wines are certified: Sustainable, Organic, or Biodynamic. Benziger Family Winery is a good place for families as they have a small playground area for children to play near the picnic tables. ",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN29,Imagery Estate Winery,14335 Sonoma Hwy,Glen Ellen,CA,95442,707-935-4500,www.imagerywinery.com,"Imagery Estate Winery is all about experimenting with new varietals, exploring little known grape regions, and shining the spotlight on wines that are usually swallowed up in big blends. They don’t follow the rules, they take a few risks, and have fun doing so. In a visit to Imagery Estate Winery you will find well-dressed members roaming the grounds sipping wine and playing games with children. There are plenty of picnic tables on the grounds which you can enjoy.",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN30,Little Vineyards Family Winery,15188 Sonoma Hwy,Glen Ellen,CA,95442,707-996-2750,www.littlevineyards.com,"Little Vineyards Family Winery estate includes a premium vineyard with a small production winery and tasting room. In 1996 the family purchased a 25 acre property, restored the property’s century old farmhouse, and planted 17.5 acres of grapes. In 2002 they crafted two award-winning wines from their estate grown fruit: 2002 Zinfandel and 2002 Resonance, a Syrah and Cabernet Sauvignon blend. Little Vineyards Family Winery offers several wine tasting programs. You can also reserve your picnic table for wine tasting with lunch pairing. Or reserve a table on the patio for wine tasting with your own lunch basket.",Wineries,Y,Y,N,Y,11,16:30,,,,,11,16:30,11,16:30,11,16:30,11,16:30,Y,
WIN31,Loxton Cellars,11466 Dunbar Rd,Glen Ellen,CA,95442,707-935-7221,http://www.loxtonwines.com/,"Loxton Cellars is a working winery in the heart of Sonoma Valley that sources premium fruit from great vineyards. While the focus has been Syrah and to a lesser extent, Zinfandel, small quantities of other wines are made in cases where exceptional fruit has been able to be sourced. They offer visitors wine tasting in their tasting room, or tours with wine tasting in a private sit down tasting, where you are guide through the vineyard and winemaking practices that determine the final outcome of the wines.",Wineries,Y,Y,N,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
WIN32,Madrone Vineyards Estate,777 Madrone Rd,Glen Ellen,CA,95442,707-939-4510,www.madronevineyardsestate.com,"Madrone Vineyards Estate was born on the historic site originally planted in 1863, Valley of the Moon Winery, and has been at the foundation of the regions winemaking heritage for over 150 years.  The winery is located 45 miles East of Sacramento on U.S. Highway 50 in the heart of Apple Hill and the California Gold Country. It offers wines crafted from the estate vineyards and from selected blocks from Sonoma County vineyards. Tours of the winery are by appointment only.",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN33,Mayo Family Winery,13101 Arnold Dr,Glen Ellen,CA,95442,707-938-9401,www.mayofamilywinery.com,"Mayo Family Winery was founded in 1993 and has two winemaking facilities in Glen Ellen, California; each fitted and equipped to produce particular types of wines. They offer two different tasting options at Mayo Family Winery. The Premium Tasting contains 6 wines including popular Sonoma Valley varietals such as Chardonnay, Zinfandel, and Cabernet Sauvignon. The Adventure Tasting contains 9 wines of unique varietals ranging from Gewürztraminer to Cabernet Franc!",Wineries,Y,Y,N,Y,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,10:30,18:30,Y,
WIN34,Wellington Vineyards,11600 Dunbar Rd,Glen Ellen,CA,95442,707-939-0708,www.wellingtonvineyards.com,"Wellington Vineyards and Winery is nestled between the towns of Glen Ellen and Kenwood. The winery was purchased in 1986 and is owned by the father and son team of John and Peter Wellington. Now approximately half the grapes they use grow in their vineyard with the remainder purchased from small, unique vineyards. The first Tasting Room opened in 1994 and was cozy with a 15 foot long bar overlooking the vineyard that dates back to 1892. The new Tasting Room looks directly into old vineyards with the Mayacamas Mountains as a backdrop. ",Wineries,Y,Y,N,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,Y,
WIN35,Korbel Champagne Cellars,13250 River Road,Guerneville,CA,95446,(707) 824-7000,http://www.korbel.com/,"Korbel is known for the California Champagnes and their very impressive grounds. Korbel Winery started in 1882 with the production of some 20,000 to 30,000 gallons. In the 1950s the large winery building was expanded, and more vineyards were planted. In 1966, they set out to pioneer the “California-style” champagnes, which displayed more fruit and less yeast than European champagnes. 
A trip to the Korbel Winery is a 50-minute tour through the historic champagne cellars and history museum, ending with a tasting of their products. Don’t miss the Korbel Gardens that were planted in the 1880s and contain an impressive collection of roses a wide range of perennials, shrubs, redwood, linden, dogwood and flowering plum trees.",Wineries,Y,Y,N,N,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN36,Arista Winery,7015 Westside Road,Healdsburg,CA,95448,(707) 473-0606,http://www.aristawinery.com/,"Arista Winery was founded in 2002 with a mission to create the most elegant expression of Russian River Valley Pinot Noir. Produced in small lots of several barrels, the wines are deliciously balanced with fruit, tannins, acidity and oak in harmonious proportion. In addition to their wines visitors can enjoy a breathtaking setting of Japanese water gardens, mountain and vineyard vistas, combined with an inviting tasting room, a welcoming environment that encourages picnic lunches and leisurely days spent on the estate.",Wineries,Y,Y,Y,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
WIN37,Christopher Creek Winery,641 Limerick Lane,Healdsburg,CA,95448,(707) 433-2001,http://christophercreek.com/,"Christopher Creek Winery is a small, family owned winery with a long history of producing award winning, estate bottled, and hand crafted wines, with annual production around 4,000 cases. Located in Healdsburg, California on 11 rolling acres in the famous Russian River Valley AVA, with another 27 acres planted high on Bradford Mountain in Dry Creek AVA. Christopher Creek has award winning Petite Sirah, Syrah, and Cabernet Franc and now also produce Cabernet Sauvignon, Zinfandel, Pinot Noir, Chardonnay, Viognier, Port and Chocolate Bliss. Visit the rustic tasting room, enjoy a glass of wine or bring a picnic lunch to enjoy on the patio overlooking the rolling vineyards, creek and surrounding vistas.",Wineries,Y,Y,Y,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,Y,
WIN38,HKG Estate Wines at Hop Kiln Vineyards,6050 Westside Road,Healdsburg,CA,95448,(707) 433-6491,http://www.hkgwines.com/,"HKG Estate Wines come exclusively from fruit grown on their 250-acre estate located amongst the Russian River Valley’s finest producers. Today they produce 5 different varietals: Pinot Noir, Chardonnay, Pinot Grigio, Rosé of Pinot Noir and Sparkling Rosé of Pinot Noir. The historic Walters Ranch Hop Kiln, stands as a symbol of the care, quality, craftsmanship and longevity that goes into every bottle of HKG Estate Wine. The Hop Kiln also serves as the Tasting Room and Marketplace. They offer daily cheese and wine pairing or historic Hop Kiln tour and tasting. The historic buildings are interesting and the picnic tables overlooking the pond out back are a nice place to take a break and relax.",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN39,Merriam Vineyards,11650 Los Amigos Road,Healdsburg,CA,95448,(978) 352-8155,http://www.merriamvineyards.com/,"Nestled in the warmest edge of the Russian River Valley, Merriam Vineyards offers guests the tasting of their California-crafted Bordeaux-style wines in a beautifully appointed tasting room designed with the comfort and warmth of a New England-style home. This new winery, representing an east meets west experience, lies in the hub of three major California appellations, Russian River Valley, Dry Creek Valley, and Alexander Valley, and is the gateway to Healdsburg’s wine country. ",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,
WIN40,Moshin Vineyards,10295 Westside Road,Healdsburg,CA,95448,(707) 433-5499,http://www.moshinvineyards.com/,"Moshin Vineyards and Winery began in 1989 with the purchase of a ten-acre Pinot Noir Vineyard located in the Russian River Valley of Sonoma County, California. Today they specialize in small lot, hand-crafted wines, which include Pinot Noir, Sauvignon Blanc, Chardonnay, Merlot, Petite Sirah and Zinfandel. The tasting room is open daily to the public and tours of the winery can be made by appointment.",Wineries,Y,Y,N,Y,11,16:30,11,16:30,11,16:30,11,16:30,11,16:30,11,16:30,11,16:30,Y,
WIN41,Twomey Cellars,3000 Westside Road,Healdsburg,CA,95448,(707) 942-7020,https://www.twomey.com/,"Twomey Cellars is a California winery established in 1999 to pursue varietals other than Cabernet Sauvignon. Twomey has two wineries; one in Calistoga in the Napa Valley, and one in Healdsburg in the Russian River Valley, and produces Pinot noir, Merlot and Sauvignon blanc. Twomey’s Sauvignon Blanc is a blend of Sauvignon Blanc grapes from their estate vineyards at their wineries in Napa Valley and Russian River Valley. The Calistoga tasting room echoes the rolling landscape with a sleek, curving tasting bar, and opens on to a sunny courtyard. Twomey Healdsburg features a striking modern design with winding, wraparound patios set into the rolling foothills.",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,11,17,Y,
WIN42,Chateau St. Jean,8555 Sonoma Hwy,Kenwood,CA,95452,877-478-5326,www.chateaustjean.com,"Chateau St. Jean winery is offering guests a true Sonoma experience. Nestled at the center of Chateau St. Jean, ""The Chateau"" and gardens convey the beauty and grace that the winery and its Sonoma County wines. Created in 2000 the elegant courtyard welcomes visitors to Chateau St. Jean. Inspired by formal estate gardens in Italy and the south of France, it features colorful shrubs and generous groundcover, punctuated by rare palms, citrus and other trees planted in terracotta pots. Two fountains provide soothing sound, with the central fountain situated in front of a 19th century zinc sculpture of Jean, the winery's namesake. You can enjoy the taste of their handcrafted Chardonnay, Cabernet Sauvignon, the Merlot and the Gewurztraminer. ",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,Y,Y
WIN43,Deerfield Ranch Winery,10200 Sonoma Hwy,Kenwood,CA,95452,707-833-5215,www.deerfieldranch.com,"Deerfield Ranch Winery in Kenwood, the heart of Sonoma Valley, is a certified organic producer winery crafting 15,000 cases annually. Deerfield wines are renowned for their colors, rich and wonderfully complex flavors and a long finish. Visiting the winery you will walk through the crush pad, around the fermenting tanks through beautiful Redwood portal doors into the cave. In the Grand Room you can sit comfortably in overstuffed couches and chairs, relax and savor various flights of wine selected from the 20 wines made by Deerfield. ",Wineries,Y,Y,N,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,Y,
WIN44,Kenwood Vineyards,9592 Sonoma Hwy,Kenwood,CA,95452,707-833-5891,www.kenwoodvineyards.com,"Kenwood Vineyards was established in 1970 in the former Pagani Brothers Winery, a historic cellar dating back to 1906. Thoroughly refurbished and modernized, the facility now boasts more than 125 stainless steel fermenting tanks and large oak uprights, and 17,000 small French and American oak barrels, all devoted to Kenwood Vineyards’ “small lot” style of winemaking. Housed in the original building dating back to 1906, the tasting room is open seven days a week (except major holidays) from 10 a.m. until 4:30 p.m.",Wineries,Y,Y,N,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,Y,
