Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category,Subcategory,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick
PLA110,Kennedy Park,2318-2386 Streblow Dr,Napa,CA,94558,,http://www.cityofnapa.org/index.php?option=com_content&view=article&id=374&Itemid=1082,"Kennedy Park runs along the Napa River. The playground is by the second parking lot at the end of Streblow drive. The 350 acre park also offers five reservable picnic areas, stroller trails, softball, soccer, volleyball, boat launching, hiking, and the 18-hole Napa Golf Course. ",N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y
PLA111,Kevin Moran Park,12415 Scully Ave,Saratoga,CA,95070,,,,N,Playgrounds,,Y,Y,Y,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,N
PLA112,Golden Gate Park Children's Playground,Haight St and Stanyan Streets,San Francisco,CA,94117,(415) 831-2700,http://www.golden-gate-park.com/childrens-playground.html,"Koret Children's Quarter in Golden Gate Park is one of the oldest, biggest, and best playgrounds in San Francisco - featuring a huge, gloriously terrifying slide down a hillside, an antique carousel, and an amazing climbing structure. ",N,Playgrounds,,Y,Y,,Y,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,Y
PLA113,Emerald Glen Park,4201 Central Pkwy,Dublin,CA,94568,,http://www.ci.dublin.ca.us/Facilities/Facility/Details/Emerald-Glen-Park-13,"The main playground by Tassajara Rd and Central Pkwy has a water play area and two play structures for older and younger kids. There are two slides built into a rock climbing wall and a nice sized sand pit. The water play area is generally operational from the Memorial Day weekend through the Labor Day weekend. During the drought, check online for operating hours. There is a smaller playground past the soccar fields with a play structure, some climbing equipment and swings. ",N,Playgrounds,,Y,Y,,Y,Y,N,mulch,Y,Y,Y,Y,Y,Y,Y,Y
PLA114,Golden Gate Park Mothers Meadow,501-599 Martin Luther King Jr Dr,San Francisco,CA,94118,(415) 831-2700,,,N,Playgrounds,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,N,N,N,N
PLA115,Dorothy Bolte Park,540 Spruce Street,Berkeley,CA,94707,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Dorothy_Bolte_Park.aspx,Cement slide!,N,Playgrounds,,N,N,,N,Y,N,sand,N,Y,Y,Y,N,N,N,N
PLA116,Fowler Creek Park,Fowler Road at Cortona Dr,San Jose,CA,95109,,http://www.sanjoseca.gov/Facilities/Facility/Details/Fowler-Creek-Park-117,,N,Playgrounds,,N,Y,,Y,Y,N,"sand, rubber",Y,Y,Y,Y,Y,Y,Y,N
PLA117,Lake Merritt / Lakeside Park,Perkins St. & Bellevue Ave.,Oakland,CA,94610,(510) 230-0339,http://www.lakemerritt.org/,"Lake Merritt is an urban oasis, a treasure for the Oakland residents and visitors. Take a stroller hike around the lake, visit the dozen or so gardens, and bird watch along the shores. The playground is fairly ordinary, but has a great location by the lake. Children's Fairyland, a fabulous amusement park for kids under 8, is also located at Lake Merritt. ",N,Playgrounds,,Y,N,,Y,Y,N,"dirt, sand",N,Y,Y,Y,Y,Y,N,Y
PLA118,Coyote Point Recreation Area,1701 Coyote Point Dr,San Mateo,CA,94401,650 573 2592,https://parks.smcgov.org/coyote-point-recreation-area,"Coyote Point is a regional recreation area that provides a wide variety of opportunities: picnicking, swimming, windsurfing, bicycling, jogging, fishing, boating, and sailing.The highlights for kids are the Magic Mountain Playground and CuriOdyssey, a natural history musuem with a small zoo. Magic Mountain is separated into a two parts and has a castles and dragons theme. The 3 story high slide is sure to delight any child. Great place for hosting celebrations. Entrance is $5 per car. ",Y,Playgrounds,,Y,Y,Y,Y,Y,Y,"Mulch, rubber, sand",N,Y,Y,Y,Y,Y,Y,Y
PLA119,Harbor View Park,1725 Monte Diablo Ave,San Mateo,CA,94403,,,"Harbor View Park provides easy access to the Bay Trails. The park has 2 playground. The older kids playground is primarily for climbing. The younger kids play area has a dedicated sand pit. The park also has a baseball diamond, picnic tables & BBQ pits & dedicated parking.  ",N,Playgrounds,,Y,Y,,N,Y,N,rubber,Y,Y,Y,Y,Y,Y,N,N
PLA12,Balboa Park,San Jose Ave & Sgt John V Young St,San Francisco,CA,94112,,http://www.sfparksalliance.org/our-parks/parks/balboa-park-and-pool,"This large park, home to the Balboa pool, includes a sand playground with climbing structures, four baseball fields, a soccer stadium, tennis courts, and a picnic area.",N,Playgrounds,,Y,Y,,Y,Y,Y,rubber,N,N,Y,Y,Y,Y,N,N
PLA120,Oak Hill Park,1 Parkside Ter,Petaluma,CA,94952,,http://cityofpetaluma.net/parksnrec/parks-pages/oak-hill.html,,N,Playgrounds,,Y,Y,,N,Y,N,mulch,N,N,N,N,Y,Y,Y,N
PLA121,Erckenbrack Park,Niantic Dr,Foster City,CA,94404,,http://www.fostercity.org/parksandrecreation/Erckenbrack-Park.cfm,"With a beautiful waterfront setting, Erckenbrack Park provides 3.4 acres of lawn area, sand beach, a children's playground, and restroom facilities.",N,Playgrounds,,Y,Y,,N,Y,N,mulch,N,Y,N,Y,N,Y,N,N
PLA122,Jose Avenue Park,1435 Jose Ave,Santa Cruz,CA,95062,,,,N,Playgrounds,,Y,Y,,N,Y,N,"rubber, sand",N,Y,Y,Y,Y,N,N,N
PLA123,Berkeley Aquatic Park,80 Bolivar Way,Berkeley,CA,94710,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Aquatic_Park.aspx,,N,Playgrounds,,Y,Y,,N,Y,Y,mulch,Y,Y,Y,Y,Y,N,N,N
PLA124,Jack Fisher Park,1400 Abbott Ave,Campbell,CA,95008,,,,N,Playgrounds,,N,Y,Y,N,Y,N,mulch,Y,Y,Y,Y,N,Y,N,N
PLA125,Maddux Park,Maddux Dr at Kensington Rd,Redwood City,CA,94061,,,,N,Playgrounds,,N,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,N
PLA126,Paradise Valley Park,Hillside Blvd & Belmont Ave ,South San Francisco,CA,94080,650 583 2348,,,N,Playgrounds,,N,N,,N,Y,Y,mulch,N,N,Y,Y,N,N,N,N
PLA127,Mariposa Park,301 Mariposa Ave,Mountain View,CA,94041,650 903 6326,,,N,Playgrounds,,N,N,,N,Y,N,rubber,N,Y,Y,Y,Y,Y,N,N
PLA129,Jollyman Park,1000 S Stelling Rd,Cupertino,CA,95014,,,,N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,N
PLA13,Grundy Park,567 El Camino Real,San Bruno,CA,94066,,,,N,Playgrounds,,N,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,N
PLA130,Holly Park Circle,Bocana St & Highland Ave,San Francisco,CA,94110,,http://www.sfparksalliance.org/our-parks/parks/holly-park,"This circular park is built on a hill and at the top is a spectacular view. Also at the top is a tennis and basketball court, and a flat ball field. On the side of the hill is a children's playground.",N,Playgrounds,,N,Y,,Y,Y,Y,rubber,N,Y,Y,Y,N,Y,Y,N
PLA131,George Page Park,Santa Teresa Boulevard & Miyuki Drive,San Jose,CA,95119,,http://www.sanjoseca.gov/Facilities/Facility/Details/George-W-Page-Park-144,,N,Playgrounds,,N,N,,N,Y,N,mulch,N,N,N,Y,Y,Y,Y,N
PLA132,Greystone Park,Camden Ave & Mt Carmel Dr,San Jose,CA,95120,,http://www.sanjoseca.gov/Facilities/Facility/Details/Greystone-Park-35,,N,Playgrounds,,N,Y,,N,Y,N,mulch,N,N,N,Y,Y,Y,Y,N
PLA133,Greenwood Park,Middle ln. & Eden ave.,Hayward,CA,94545,,,,N,Playgrounds,,N,N,,N,Y,N,mulch,N,N,Y,Y,Y,Y,N,N
PLA134,Bonaire Park,Juniper St & Sagewood Ave,San Leandro,CA,94579,510 577 3462,https://sanleandro.org/depts/rec/parks/bonaire_park/default.asp,"Located at the corner of Juniper and Sagewood streets, is a 5-acre neighborhood park with unique mounded turf areas. Amenities include picnic areas, play apparatus, restrooms, horseshoe pits and plenty of off-street parking.",N,Playgrounds,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,N
PLA135,Mercy-Bush Park,Mercy Street & Bush Street,Mountain View,CA,94041,,,,N,Playgrounds,,N,N,,N,Y,N,rubber,N,N,N,N,Y,Y,N,N
PLA136,Middle Harbor Shoreline Park,2777 Middle Harbor Rd,Oakland,CA,94607,,,,N,Playgrounds,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,Y,N
PLA137,Mill Creek Hollow,Deerwood Drive & Deerwood Road,San Ramon,CA,94582,,,,N,Playgrounds,,N,Y,,N,Y,N,rubber,N,N,N,Y,N,Y,N,N
PLA138,Mission Hills Park,Junipero Street & Independence Street,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/mission-hills-park,,N,Playgrounds,,N,N,,Y,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,N
PLA139,Hoover Park,2901 Cowper St,Palo Alto,CA,94309,,,,N,Playgrounds,,N,Y,,N,Y,N,mulch,N,N,Y,Y,Y,Y,Y,N
PLA14,Cardoza Park,Kennedy Dr & Prada Dr.,Milpitas,CA,95035,,http://www.ci.milpitas.ca.gov/government/recreation/parks.asp,,N,Playgrounds,,Y,Y,,N,Y,N,rubber,N,N,Y,Y,Y,Y,Y,N
PLA140,Linda Vista Park,11000 Linda Vista Dr,Cupertino,CA,95014,,,Linda Vista Park is nestled in the Cupertino hills and is great for stroller trail walks. They also have 2 playgrounds. The first playground situated at the upper level of the parking lot is for older kids. The middle level contains older picnic tables & a large BBQ pit. The bottom level is the playground for tots. There is also a huge open grass area for kids to run around.  ,N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,N,Y,Y,N
PLA141,Montague Park,3595 MacGregor Lane,Santa Clara,CA,95054,408 615 3140,,"Montague Park is a huge park that has an attached school. There are a total of 5 play structures in this park. Two belong to the school, but are accessible outside school hours. 

On one side of the park there is a unique sand play structure near the restrooms. This play struture is semi enclosed and even contains tunnels for kids to use. Youg kids would surely love to utilze this unique and quite large sand pit play structure. There are a number of picnic tables and BBQs overlooking the play structure. 

At the center of the park, are the two play structures connected to the school. These are dedicated to older kids. 

At the far end of the park, there are two more play structures. One dedicated to older kids and one to younger kids. ",N,Playgrounds,,N,Y,,Y,Y,N,"sand, mulch",N,Y,Y,Y,Y,Y,Y,N
PLA143,Altamont Creek Park,6800 Altamont Crk. Dr.,Livermore,CA,94550,,,"Altamont Creek Park is a 6.9-acre neighborhood park attached to Altamont Creek Elementary School and is closed during school hours. The park offers two medium-sized soccer fields designed for kids 10 and under and accommodates two youth-sized baseball fields. It also offers tot lot equipment, barbecue pits, picnic tables and hiking and biking trails. Park users include Pony Baseball and Livermore Youth Soccer League.",N,Playgrounds,,Y,Y,,Y,Y,N,Wood chip/mulch,N,N,N,Y,N,Y,N,N
PLA145,Huntington Park,California St & Cushman St,San Francisco,CA,94108,,http://www.sfparksalliance.org/our-parks/parks/huntington-park,"Located on Nob Hill and surrounded by the Grace Cathedral, the Fairmont Hotel, and the Mark Hopkins Hotel, Huntington Park is a quiet place that features a playground for kids, plenty of benches to kick back on, and a nice area for your dogs. There are restrooms available, too.",N,Playgrounds,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,N,N,N,N
PLA146,Franklin Park,2095 Franklin Ave,Santa Rosa,CA,95404,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/FranklinPark.aspx,,N,Playgrounds,,Y,Y,,N,Y,N,sand,N,Y,Y,Y,N,Y,Y,N
PLA148,Oak Meadow Park,Blossom Hill Rd & Roberts Rd,Los Gatos,CA,95032,408 399 5781,http://www.losgatosca.gov/910/Oak-Meadow-Park,"Our favorite park in Los Gatos has a large playground area with a real, decommissioned USAF T-33 Jet. Your children will love the Carousel and Billy Jones Wildcat Railroad. Oak Meadow is also connected to Vasona Park, which has lots of reservable picnic areas. Parking lot is paid parking.",N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,Y
PLA149,Osage Station Park,816 Brookside Dr,Danville,CA,94526,,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Osage-Station/,"Osage Station Park is known for its beautiful, memorial rose garden and children's play area with train station.

This 35-acre park features four tennis courts, four baseball diamonds, several soccer fields, plus a path around the park. The tennis courts and sports fields can be rented. An additional parking lot is located near the tennis courts, off Orange Blossom Way. The twenty picnic tables and five barbecue pits are located near the children's play area and are available to rent.

The park is named after the ranch that grew Osage Oranges, and there are still three Osage Orange trees at the park.",N,Playgrounds,,Y,Y,,Y,Y,N,"sand, mulch, rubber",Y,Y,Y,Y,N,Y,Y,N
PLA15,Cannery Park,B St. & Martin Luther King Way,Hayward,CA,94541,510 881 6747,,,N,Playgrounds,,N,Y,,N,Y,N,rubber,Y,Y,N,Y,Y,N,N,N
PLA150,Indian Springs Park,W 39th Ave & Lola St,San Mateo,CA,94403,,,Indian Springs Park has a small parking lot and 2 playgrounds. The playgrounds have a number of climbing structures. There is also an oval paved area in front of the playgrounds with a grassy center for kids to play.  ,N,Playgrounds,,Y,Y,,N,Y,N,mulch,N,N,Y,Y,N,N,N,N
PLA153,Jerry Bowden Park,High St. & N California Ave.,Palo Alto,CA,94301,,,,N,Playgrounds,,Y,N,,N,Y,Y,"sand, rubber",N,Y,Y,Y,Y,Y,N,N
PLA154,Joe DiMaggio Playground,Columbus Ave & Greenwich St.,San Francisco,CA,94133,,http://www.sfparksalliance.org/our-parks/parks/joe-dimaggio-playground-and-north-beach-pool,"Joe DiMaggio Playground features basketball courts where you can find pick-up games during the week, well-maintained tennis courts and a backboard for solo players to use. Baseball players can enjoy the two fields that are available! Finally, there is a Bocce Ball court if you know the rules of this strategic Italian game.",N,Playgrounds,,N,Y,,Y,Y,Y,sand,N,Y,Y,Y,Y,Y,N,N
PLA155,Peralta Hacienda Historical Park,2465 34th Ave,Oakland,CA,94601,510 532 9142,,,N,Playgrounds,,N,N,,N,Y,N,rubber,N,Y,Y,Y,N,N,N,N
PLA156,José Higuera Adobe Park,Wessex Pl & N Park Victoria,Milpitas,CA,95035,,http://www.ci.milpitas.ca.gov/government/recreation/parks.asp,,N,Playgrounds,,Y,Y,,N,Y,N,sand,N,N,Y,Y,N,Y,Y,N
PLA157,John McLaren Park,100 John F Shelley Dr,San Francisco,CA,94134,,,,N,Playgrounds,,Y,N,,Y,Y,N,rubber,N,N,Y,Y,Y,Y,Y,N
PLA158,Julius Kahn Park,West Pacific Ave & Spruce St,San Francisco,CA,94129,,http://www.sfparksalliance.org/our-parks/parks/julius-kahn-playground-clubhouse,"Locally known as ""JK,"" Julius Kahn is adjacent to the Presidio, the nation's largest urban National Park. The playground is in excellent condition and provides kids and parents two structures to choose from--one designed for babies and toddlers, and another for school-aged kids. Both playgrounds are situated in a sand pit.",N,Playgrounds,,N,Y,,Y,Y,Y,"sand, rubber",N,Y,Y,Y,Y,Y,N,Y
PLA159,Pioneer Park,1308 Cedar St,Calistoga,CA,94515,707 942 2838,,,N,Playgrounds,,Y,Y,,N,Y,N,mulch,N,N,N,Y,Y,N,N,N
PLA16,Al Caffodio Park,Shawnee Rd. & Chippewa Way,Livermore,CA,94551,,http://www.larpd.org/parks/maps/1.html,,N,Playgrounds,,N,N,,Y,Y,N,mulch,N,N,Y,Y,N,Y,Y,N
PLA160,Lakewood Park,834 Lakechime Dr,Sunnyvale,CA,94089,408 730 7751,,"Lakewood Park is a large park with much to do. The tot playground is above sand and also has a small dedicated sand pit. The big kids playground has a spaceship theme and is located on rubber. 
The park also has a skate area, baseball diamond, tennis courts and basketball court. There is also a paved trail through the park to allow for bike riding.",N,Playgrounds,,N,Y,,Y,Y,N,rubber,Y,Y,Y,Y,Y,Y,Y,N
PLA161,Ken Mercer Sports Park,5800 Parkside Dr,Pleasanton,CA,94566,925 931 5340,http://ptownlife.org/play/parks/ken-mercer-sports-recreation-community-park,Pleasanton’s largest developed park is Pleasanton Sports & Recreation Community Park approximately 103 acres in overall area.,N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,N
PLA162,Koret Children's Quarter,320 Bowling Green Dr,San Francisco,CA,94199,,http://www.sfparksalliance.org/our-parks/parks/koret-childrens-quarter,"Koret Children's Quarter in Golden Gate Park is one of the oldest, biggest, and best playgrounds in San Francisco - featuring a huge, gloriously terrifying slide down a hillside, an antique carousel, and an amazing climbing structure.",N,Playgrounds,,Y,Y,,Y,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,Y
PLA163,Rancho San Ramon Community Park,2000 Rancho Park Loop Rd,San Ramon,CA,94582,,http://www.ci.san-ramon.ca.us/parks/parks_facilities/parks.htm,"This recently opened park has everything, play structures for each age range, sand pit, water play, climbing structures, and picnic tables. Our only complaint is the limited shade available.",N,Playgrounds,,Y,Y,,N,Y,N,mulch,Y,Y,Y,Y,Y,Y,N,Y
PLA165,Lafayette Park,Gough and Sacramento Street,San Francisco,CA,94109,,http://www.sfparksalliance.org/our-parks/parks/lafayette-park,"This park is great if you want to get some fresh air! Four blocks long, the numerous paths allow you to walk or run. There is plenty of open space to play with your child and lots of trees to provide shade on a hot day. Also, its a great place for a picnic! There is a small, fenced in playground for kids, designed by Miller Company Landscape Architects. It is in good condition with two tennis courts. There are picnic tables to sit at and restrooms available.",N,Playgrounds,,N,Y,,Y,Y,Y,rubber,N,N,Y,Y,Y,Y,N,Y
PLA166,Red Willow Park,190 Red Willow Rd,San Ramon,CA,94582,,,,N,Playgrounds,,Y,N,,Y,Y,N,mulch,N,N,Y,Y,N,N,N,N
PLA167,Glendale La Loma Park,1310 La Loma Ave,Berkeley,CA,94708,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Glendale_La_Loma_Park.aspx,,N,Playgrounds,,Y,Y,,N,Y,N,sand,N,Y,Y,Y,N,N,N,N
PLA168,Howarth Park,630 Summerfield Rd,Santa Rosa,CA,95405,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/howarth/Pages/default.aspx,"Come visit Howarth Park, the “jewel"" of Santa Rosa. This 152-acre community park provides endless recreational opportunities with a beautiful lake for fishing & boating, a softball field, tennis courts, picnic areas, unique playground structures, miles of hiking and jogging trails, and an amusement area featuring a miniature train ride, carousel, animal farm & pony rides.",N,Playgrounds,,Y,Y,,Y,Y,N,dirt,Y,Y,Y,Y,Y,Y,Y,Y
PLA169,Rodgers-Smith Park,Grayson Terrace & Grayson Rd,Pleasant Hill,CA,94523,,http://www.pleasanthillrec.com/locations/parksandoutdoorspaces.html,"This park is great for picnics: company picnics, family reunions, and barbecues! Reservable Picnic Area with Barbecue, Softball/Sports Field, Sand Volleyball Court, Surfaced Basketball Court, Lighted Bocce Courts. ",N,Playgrounds,,Y,Y,,N,Y,N,"rubber, sand",N,Y,N,Y,Y,Y,Y,N
PLA17,Campbell Park,Gilman & Campbell Ave,Campbell,CA,95008,,,"Location! This great park is right by Downtown Campbell and is a major access point to Los Gatos Creek Trail which connects Downtown San Jose to Lexington Reservoir in Los Gatos. The playground has a fun spinning wheel and a nice sand pit. There are a very small number of first-come, first-served picnic tables available in the park.",N,Playgrounds,,Y,Y,,Y,Y,Y,mulch,Y,N,Y,Y,Y,Y,N,N
PLA170,Guadalupe River Park,W Santa Clara St & N Autumn St,San Jose,CA,95110,,http://www.grpg.org/river-park-gardens,"Guadalupe River Park is a three-mile ribbon of park land that runs along the banks of the Guadalupe River in the heart of downtown San Jose. The Rotary PlayGarden is located at Arena Green, the section of the park located between Santa Clara Street on the south, Julian Street on the north, and directly across Autumn Street from HP Pavilion. There are 2 brightly colored playgrounds for children both young and old, featuring swings, slides, a play fort and climbing structures. ",N,Playgrounds,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,N,Y
PLA171,Cherry Grove Park,1600 Williams St,San Leandro,CA,94577,510 577 3462,https://sanleandro.org/depts/rec/parks/cherry.asp,"This 4-acre neighborhood park, is located on Leonard Drive at Williams Street. The park provides neighborhood-oriented facilities, including picnic areas and tennis courts. The park is adjacent to the large open spaces of John Muir School. Amenities include 10 barbecue pits, night lighting, parking, 21 picnic tables, play areas and restrooms.",N,Playgrounds,,Y,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,N
PLA172,Floresta Park,3750 Monterey Blvd,San Leandro,CA,94578,,https://sanleandro.org/depts/rec/parks/floresta.asp,"Located at 3750 Monterey Boulevard, this park offers both picnic and play areas. Green space and a baseball diamond are located on the adjacent school site.",N,Playgrounds,,N,Y,,N,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,N
PLA173,Grove Park,1730 Oregon St,Berkeley,CA,94703,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Grove_Park.aspx,,N,Playgrounds,,N,Y,,N,Y,Y,sand,N,Y,Y,Y,N,Y,Y,N
PLA174,Joinville Park,2111 Kehoe Ave,San Mateo,CA,94403,650 522 7434,,"Joinville Park is located next to Bayside Performing Arts Center. The park has a pool, 2 tennis courts, a baseball diamond and a big play structure. The play structure is interconnected for both the tots and big kids. The picnic tables that overlook the play area don't provide great supervision opportunities.  ",N,Playgrounds,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,N,N,N
PLA175,Scotts Valley Tim Brauch Memorial Skate Park,361 Kings Village Rd,Scotts Valley,CA,95066,,,"Tim Brrauch Memorial skate park shares it's grounds with Skypark. For older kids that want to skate, this is a great area. For younger kids, it's great that you have some playgrounds around the corner. ",N,Playgrounds,,Y,Y,,Y,Y,N,sand,Y,N,Y,Y,Y,Y,Y,N
PLA176,Lakeshore Park,1500 Marina Ct.,San Mateo,CA,94403,,,,N,Playgrounds,,Y,Y,N,Y,Y,Y,mulch,N,N,N,Y,Y,Y,Y,N
PLA177,McCoppin Square,1300 Taraval St,San Francisco,CA,94116,,http://www.sfparksalliance.org/our-parks/parks/mccoppin-square,,N,Playgrounds,,Y,Y,,Y,Y,Y,rubber,N,N,Y,Y,Y,N,N,N
PLA178,Sharon Park,Sharon Park Dr & Lassen Dr,Menlo Park,CA,94025,650 330 2200,http://www.menlopark.org/Facilities/Facility/Details/Sharon-Park-10,"The highlight of Sharon park is the large pond where you are see fish, turtles and occasionally ducks and geese. There is a path around the pond where you can push a stroller or bike. One small play structure in fully fenced and shaded. ",N,Playgrounds,,Y,N,,Y,Y,Y,mulch,N,N,N,Y,N,Y,N,N
PLA18,Kottinger Village Park,4100 Vineyard Ave,Pleasanton,CA,94566,,http://ptownlife.org/play/parks/kottinger-village-park,,N,Playgrounds,,Y,N,,Y,Y,N,mulch,N,N,N,N,Y,Y,N,N
PLA180,Shoreline Park,N Shoreline Blvd & North Rd,Mountain View,CA,94043,,,,N,Playgrounds,,Y,Y,,Y,Y,N,sand,N,Y,Y,Y,N,Y,Y,N
PLA181,Shoup Park,400 University Ave,Los Altos,CA,94023,,,,N,Playgrounds,,Y,Y,N,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,N
PLA182,McKinley Square,20th St & Vermont,San Francisco,CA,94107,,http://www.sfparksalliance.org/our-parks/parks/mckinley-square,"Located at the corner of 20th Street and Vermont in the Potrero Hill neighborhood, McKinley square features a playground with a large sand pit, and a large grassy open area for soccer, football, a game of catch, or to just let the dogs roam. There is a walking trail with benches. ",N,Playgrounds,,N,N,,N,Y,Y,sand,N,Y,Y,Y,Y,Y,N,N
PLA183,Michaelangelo Park,Greenwich St,San Francisco,CA,94109,415 267 575,http://www.sfparksalliance.org/our-parks/parks/michelangelo-playground-community-garden,"Michelangelo is another nice addition to the Russian Hill area. It is extraordinarily maintained and locals consider it the jewel of the neighborhood. There is a half basketball court, a large tennis backboard to hit on, and a playground with sand area for children. There are benches and picnic tables where you can watch your kids and have lunch. The grass is really nice to sit/lay down on too! ",N,Playgrounds,,N,N,,N,Y,Y,sand,N,Y,Y,Y,Y,Y,N,N
