Place ID,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Standard hours,Hours,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller friendly,Snugabug Picks,Photos,,
IND11,Super Franks Fun Adventure,5341 Owens Ct,Pleasanton,CA,94588,(925) 271-5880,https://www.superfranks.com/,"Super Franks is a drop in play programs targeted for families with kids ages 7 and under. They offer many activities including Music Circle, Craft Time, Story Time, Organized Games and Active Free Play. They have a number of areas including the Safari Adventure Room, a Jungle themed play area with rides on toys, gymnastic mats, games and a huge double lane jumpy slide. The Mini Gym, surrounded by glass walls, includes a basketball court, Plasma Cars and the Super Franks Zip Line.  They also have an arcade, a Fish Tank with an “Under the Sea"" theme, and a Farm area targeted for ages 3 and under. $8 per child to visit.
The parking lot is small, but on weekends there usually is enough space. Also there is plenty of nearby street parking.",Y,Indoor Playspace,2 and up,arcade,mini gym,Birthday Party,,,,10,16,10,16,10,20,10,20,10,20,10,20,10,20,Y,Y,,,,Y,,
IND12,La Petite Playhouse,1264 Oddstad Drive,Redwood City,CA ,94063,(650) 642-9444,http://www.lapetiteplay.com/,"La Petite Playhouse is an indoor destination for children to play, explore and have fun. The 10,000 sq. ft. facility includes giant undersea-themed play structures, separate baby/toddler structure, interactive “Eye Click” game, climbing wall, 2 sport courts and private party rooms for birthday parties and special group events. Suitable for children of all abilities, ages 10 and under. Designed with a family-friendly focus, the play space makes physical fitness fun while providing an exciting outlet where kids can build motor skills, balance, cardio, strength, and confidence. Visit passes are $10 and they are closed on weekends for private parties.",Y,Indoor Playspace,1 and up,slides,toddler area,water themed,Birthday Party,Y,,10,18,10,18,10,18,10,18,10,18,,,,,N,Y,,,,Y,,
IND13,Diddalidoo,544 San Mateo Ave,San Bruno,CA,94066,650 741 9065,http://diddalidoo.com/,"Diddalidoo is an indoor play center created for babies, infants and toddlers between the ages of 0-4yrs. At Diddalidoo, parents and young children have the opportunity to explore, learn and socialize through interactive play. Diddalidoo is a great place for a play date or to meet new friends for both baby and parent. The infant play area is ideal for babies to practice tummy time, crawling, and other new motor skills. The toddler play area is perfect for tots to toddle, tumble and climb as they discover new things in every nook and cranny. Day pass is $8 for non-crawlers and $13 for crawlers and walkers.",Y,Indoor Playspace,0 to 4,Birthday Party,,,,,,9:30,19,9:30,19,9:30,19,9:30,19,9:30,20,9:30,18,9:30,18,Y,Y,,,,Y,,
IND14,Hop-N-Play Indoor Playground,"#142, The Shops at Tanforan, 1150 El Camino Real",San Bruno,CA,94066,877-446-7675,http://www.hopnplay.com/,"Hop-n-Play is a walk-in indoor children's playground and party facility. Conveniently located on the Peninsula close to San Francisco and many Bay Area locations, little kids all over Bay can come and play. They offer an abundance of great new, colorful toys, so children can get a refreshing mind and body workout. They also have a nice little dining area and snack stand and a Mother's Room for nursing. ",Y,Indoor Playspace,0 and up,bouncy castle,ball room,Birthday Party,,,,10,21,10,21,10,21,10,21,10,21,10,21,11,19,Y,N,,N,,Y,,
IND15,Rockin’ Jump,401 Quarry Road,San Carlos,CA,94070,650 528 2036,http://sca.rockinjump.com/,"Help your children burn off some energy, they will enjoy jumping on open trampolines and into pools of soft foam cubes. You can go during daily open hours or they have dedicated jumping times for kids 6 and under on Tuesdays and Wednesdays from 9:00 AM to 11:00 AM and Saturdays from 8:00 AM to 10:00 AM. ",Y,Indoor Playspace,2 and up,Trampoline Parks,Birthday Party,,,N,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND16,Pump It Up,201 Mendell St,San Francisco,CA,94124,(415) 375-9596,http://pumpitupparty.com/san-francisco-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times.  ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND17,House of Air,926 Mason Street ,San Francisco,CA ,94129,(415) 345-9675,http://www.houseofair.com/,"House of Air is an indoor trampoline park located in the historic airplane hangar at West Crissy Field, Building 926, 926 (Old) Mason Street in The Presidio of San Francisco, California. The athletic and recreational facility is host to open trampoline jump time, aerial and physical training on trampolines, trampoline dodgeball, and fitness classes. They also cater to group events, including birthday parties, corporate events, family events, and fundraisers. 
Minimal parking is available",Y,Indoor Playspace,2.5 and up,Trampoline Parks,Birthday Party,,,,,10,21,14,19,14,19,14,19,10,22,10,22,10,19,Y,Y,,,,Y,,
IND18,Recess Urban Recreation,470 Carolina Street,San Francisco,CA,94107,415.701.7529,http://www.recessurbanrecreation.com/#play,"Recess Urban Recreation is an amazing membership based indoor play space for kids 0-4. In addition to high quality toys, there are storytime, live music and sensory labs. For parents it's a place to connect over playgroups, pilates and parenting workshops. Recess’ drop-in environment allows parents to come when it works for them. Membership is $85 per month. ",Y,Indoor Playspace,0 and up,Birthday Party,,,,,,9:30,18,9:30,18,,,9:30,18,9:30,18,9,13,9,13,Y,Y,,,Y,Y,,
IND19,Peekadoodle Kidsclub,"Ghirardelli Square, 900 North Point St f100",San Francisco,CA,94109,(415) 440-7335,http://www.peekadoodle.com/san-francisco/,"Peekadoodle Kidsclub offers a balance between exploratory play and structured learning. The club has been designed to foster independence and creative thinking at the earliest stages, and to nurture those principles from infancy through preschool.  In addition to featuring a larger Golden Gate Bridge, quaint Victorian, and child-sized cable car, the playspace is maintained by a team of cleaners who ensure that toys are washed and surfaces are sanitized. The playspace is open for play Monday through Saturday for members and is reserved for private events on Sundays.",Y,Indoor Playspace,0 to 5,Birthday Party,,,,,,9,18,9,18,9,18,9,18,9,18,9,16,,,Y,Y,Y,Y,,Y,,
IND20,Peek-a-Boo Factory,2 W Portal Ave,San Francisco,CA,94127,(415) 702-6638,http://peekaboofactory.com/,"Peek-a-Boo Factory is a premier indoor playground and party place designed for parents to allow their children to socialize, learn, and play by creating an environment that emphasizes physical exercise, mental stimulation, and collaborative activities. They offer walk-in play at all times as well as offering different play areas for different age groups. They also offer party packages for parents to enjoy themselves at their kids' parties.  ",Y,Indoor Playspace,1 and up,date night drop off,Birthday Party,,,,,9:30,18,9:30,18,9:30,18,9:30,18,9:30,19,9:30,20,9:30,18,Y,Y,Y,,,Y,,
IND21,The Jungle Island,"Avanti Shopping Center, 5401 Camden Ave",San Jose,CA,95124,(408) 448-4386,www.thejungleisland.com,"The Jungle Island is an indoor play facility for Kids of all ages.  In the Massive play structure kids can crawl into tubes, run in foam forests, soar through the air on track glides, climb, slide and jump on equipment designed to build social and physical skills.  It has a separate play area for infants and toddlers full of exciting and colorful play equipment and playhouses designed specifically for their needs",Y,Indoor Playspace,1 and up,laser tag,bumper cars,,,Y,,10,19:30,10,19:30,10,19:30,10,19:30,10,21:30,10,21:30,10,20:30,Y,Y,,Y,,Y,,
IND22,Rockin’ Jump,1901 Monterey Road,San Jose,CA,95112,408 837 8888,http://sjo.rockinjump.com/,"Help your children burn off some energy, they will enjoy jumping on open trampolines and into pools of soft foam cubes. You can go during daily open hours or they have dedicated jumping times for kids 6 and under on Tuesdays and Wednesdays from 9:00 AM to 11:00 AM and Saturdays from 8:00 AM to 10:00 AM. ",Y,Indoor Playspace,2 and up,Trampoline Parks,Birthday Party,,,N,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND23,Pump It Up,1830-B Hillsdale Ave.,San Jose,CA,95124,(408)714-0080,http://www.pumpitupparty.com/open-jump/san-jose-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times.  ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND24,Silver Creek Sportsplex,800 Embedded Way,San Jose,CA,95138,408.224.8774,http://www.gotoplex.com/partners/OpenPlay.html,"The Silver Creek Sportsplex is an indoor sports facility. It offers sports and fitness for the whole family. Lots of fun activities for young children including climbing structures, sports court, toddler bikes, video games, a quiet room for reading, and plenty of room to run. They also offer a number of classes to keep children active with a variety of fun activities.",Y,Indoor Playspace,1.5 and up,Open play,Lil' Kickers,,,N,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,,
IND25,The Duck Pond At Gateway Community Center,"GateWay Community Outreach Center, 5884 Eden Park Place",San Jose,CA,95138,,http://theduckpondsj.org/,"The Duck Pond at Gateway Community Center is a open play space for infants and toddlers. There is a range of toys including ride on toys, climbing structures, bounce house and arts and crafts. Good place to meet other parents. Limited hours and crowding can be challenging so best to go at opening. 
 ",Y,Indoor Playspace,0 and up,,,Birthday Party,,,,14,16,10,12,10,12,10,12,,,,,,,Y,N,,Y,,Y,,
IND26,Pump It Up,2919 Mead Ave,Santa Clara,CA,95051,(408)713-1200,http://www.pumpitupparty.com/open-jump/santa-clara-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times.  ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND27,Whimsy,"14510 Big Basin Way, Suite 3",Saratoga,CA,95070,(408) 898-3197,http://whimsy-saratoga.com/,"Whimsy is an indoor play space designed with both kids and parents in mind. There is a large play structure for physical play, as well as various areas for imaginative play (dress up/stage area, play house, pretend kitchen, building block area, etc.) and arts/crafts. Their program encourages kids to be creative (and messy) while being engaged and supervised by trained staff members. Parents can enjoy the cafe area, a perfect spot to enjoy a coffee or tea, a light snack, catch up on emails or meet with a friend. ",Y,Indoor Playspace,2 to 7,Birthday Party,,,,,,9,17,9,17,9,17,9,17,9,17,,,,,Y,Y,Y,,,Y,,
IND28,Pump It Up,2995 Whipple Rd,Union City,CA,94587,(510) 477-9663,http://www.pumpitupparty.com/open-jump/union-city-ca,"Filled with massive inflatable slides and jumpers, Pump It Up is a fun venue for birthday parties and open jump events. Birthday parties get private rental of the entire play area and party room. Check their website for open jump times. The parking lot is rather small, only having spots for 30 cars. ",Y,Indoor Playspace,2 and up,Inflatable houses,Birthday Party,,,,,,,,,,,,,,,,,,,Y,Y,,,,Y,,
IND29,Kidgets Play Land At Coddingtown Mall,800 Coddingtown Ctr,Santa Rosa,CA,95401,,,Nice place to take kids ages 2-10 years when it is raining outside. Kids are having a lot of fun playing.  It's convenient to have places to eat and restroom near.  Not too great for early walkers or babies unless you watch that they don’t get hurt from the fast running big kids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
