Source,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Stroller friendly,Snugabug Pick,Yelp rating,# of reviews on Yelp,
,"Foothill Observatory, Foothill College",Perimeter Rd,Los Altos Hills,CA,94022,,http://www.foothill.edu/ast/fhobs.php,"Foothill Observatory is an astronomical observatory owned and operated by Peninsula Astronomical Society and Foothill College. It is located on the college's campus in Los Altos Hills, California. The observatory is generally open to the public without charge every clear Friday night from 9 - 11 pm, and sometimes Saturday mornings from 10am-12pm. Bring a warm jacket as it gets chilly and windy sometimes.",N,Museum,,,,,,0 and up,,,,,,,,,,,,,21,23,10,12,,,Y,Y,Y,N,,,
,Fujitsu Planetarium,21250 Stevens Creek Blvd,Cupertino,CA,95014,(408) 864-8814,planetarium.deanza.edu,"The Fujitsu Planetarium at De Anza College is the largest school Planetarium west of the Rocky Mountains and one of the most modern in the world. It is shared by the College Astronomy and Community Education Departments. They offer themed shows for every age group of children. The seats are nice as they lean back and it gives you a great view of the dome overhead. The planetarium is very crowded, so get your tickets online before the show and go there early for good seats.",Y,Museum,Laser Show,Astronomy Shows,,,,5 and up,Minolta Planetarium,,,,9:30,13,9:30,13,9:30,13,9:30,13,9:30,16,16,23,,,Y,Y,Y,N,,,
,UCO/Lick Observatory,7281 Mt Hamilton Rd,Mt Hamilton,CA,95140,(408) 274-5061,www.ucolick.org,"The Lick Observatory is an astronomical observatory, owned and operated by the University of California. It is situated on the summit of Mount Hamilton, in the Diablo Range just east of San Jose, California. Each summer Lick Observatory hosts special evening programs to give the public a rare glimpse of the observatory at night. Programs vary from Musical performances, Astronomy talks by world-renowned scientists, Viewings through the telescopes or history talks about Lick Observatory's rich past. ",,Museum,,,,,,8 and up,,,,,,,,,,,12,17,12,17,12,17,12,17,,Y,,N,,,
,Potomac Association,540 Water St,Oakland,CA,94607,(510) 627-1215,www.usspotomac.org,The “Floating White House” was originally commissioned in 1934.  In 1936 it was renamed the USS Potomac and served as Franklin Delano Roosevelt’s Presidential Yacht until his death in 1945. More than a quarter of a million people have visited and sailed aboard this National Historic Landmark since it opened to the public in the summer of 1995. The 165-foot-long vessel is a memorial to the president who led the United States during the Great Depression and the World War II years. ,Y,Museum,Cruise,,,,,0 and up,Presidential Yacht Potomac,,,,9,16:30,9,16:30,9,16:30,9,16:30,9,16:30,,,0,3:30,,Y,N,N,,,
,S.S. Jeremiah O'Brien,"Pier 45, Fisherman's Wharf",San Francisco,CA,94133,,www.ssjeremiahobrien.org,"SS Jeremiah O'Brien is a Liberty ship built during World War II. Now based in San Francisco, Jeremiah O'Brien is a rare survivor of the 6,939-ship armada that stormed Normandy on D-Day, 1944, and one of only two currently operational World War II Liberty ships afloat of the 2,710 built during the war. A living museum on the National Register of Historic Places and a National Historic Landmark, the O'Brien transports you back almost seven decades to when sailors braved the harshest of high seas and threat of enemy attack.",Y,Museum,,,,,,3 and up,,,,,9,16,9,16,9,16,9,16,9,16,9,16,9,16,,Y,Y,N,,,
,U.S.S Pampanito,"Pier 45, Fisherman's Wharf",San Francisco,CA,94133,,http://www.maritime.org/pamphome.htm,"USS Pampanito, a Balao-class submarine, completed six war patrols from 1944 to 1945 and served as a Naval Reserve Training ship from 1960 to 1971. She is now a National Historic Landmark, preserved as a living tribute to the heroic men of the U.S. Navy's submarine service during World War II, the USS Pampanito is now a museum ship tied up at Pier 45 for daily tours.",Y,Museum,,,,,,0 and up,,,,,9,,9,,9,,9,,9,,9,,9,,,N,N,N,,,
,Asian Art Museum,200 Larkin St,San Francisco,CA,94102,(415) 581-3701,www.asianart.org,"The Asian Art Museum of San Francisco has one of the most comprehensive collections of Asian art in the world. The museum owes its origin to a donation to the city of San Francisco by Chicago millionaire Avery Brundage, who was a major collector of Asian art. The museum opened in 1966 as a wing of the M. H. de Young Memorial Museum in Golden Gate Park. Through great art experiences, the Museum strives to be a catalyst for discovery, dialogue and inspiration. ",Y,Museum,Groups,,,,,3 and up,art cards,,,,,,10,17,10,17,10,21,10,17,10,17,10,17,,Y,Y,N,,,
,California Palace of the Legion of Honor,100 34th Ave,San Francisco,CA,94121,(415) 750-3600,https://legionofhonor.famsf.org,"The Legion of Honor is a part of the Fine Arts Museums of San Francisco. It displays an impressive collection of 4,000 years of ancient and European art in an unforgettable setting overlooking the Golden Gate Bridge. From a distinguished collection of sculpture by Auguste Rodin to work by François Boucher, Rembrandt, Gainsborough, David, El Greco, Giambattista Pittoni, Rubens, and many of the Impressionists and post-Impressionists—Degas, Renoir, Monet, Pissarro, Seurat, Cézanne and others. There are also representative works by key twentieth century figures such as Braque and Picasso, and works of contemporary artists like Gottfried Helnwein and Robert Crumb.",Y,Museum,Tickets,Tours,,,,3 and up,fine arts museum,,,,,,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,,Y,Y,N,,,
,De Young Museum,50 Hagiwara Tea Garden Dr,San Francisco,CA,94118,(415) 750-360,deyoung.famsf.org/,"The de Young, a fine arts museum located in San Francisco's Golden Gate Park, is named for its founder, early San Francisco newspaperman M. H. de Young. Its state-of-the-art facility integrates art, architecture and the natural landscape in one multi-faceted destination. The de Young showcases American art from the 17th through the 21st centuries, international contemporary art, textiles, and costumes, and art from the Americas, the Pacific and Africa.",Y,Museum,Tickets,Tours,,,,3 and up,,,,,,,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,9:30,17:15,Y,Y,Y,Y,,,
,San Francisco Museum of Modern Art,151 Third Street,San Francisco,CA,94103,415.357.4000,www.sfmoma.org,"The San Francisco Museum of Modern Art, SFMOMA, holds an internationally recognized collection of modern and contemporary art and was the first museum on the West Coast devoted solely to 20th-century art. The museum’s current collection includes over 29,000 works of painting, sculpture, photography, architecture, design, and media arts. It strives continuously to expand the range of cultural experiences and to provide ways to make the art meaningful and accessible. ",Y,Museum,,,,,,3 and up,Moma,,,,11,19,11,19,11,19,11,19,11,19,11,19,12,17,,Y,Y,N,,,
,San Jose Museum of Art,110 S Market St,San Jose,CA,95110,(408) 271-6840,sjmusart.org,"The San Jose Museum of Art, in Downtown San Jose, California, USA was founded in 1969 and hosts a permanent collection of 1,400 varied artworks from the 20th and 21st centuries with a special focus on West Coast art. The museum is small but the airy spaces are perfect for the small collections they show. The main floor hosts the permanent collections while the upstairs and basement are visiting shows. SJMA is the largest provider of arts education in Santa Clara County offering award-winning school programs such as the Let’s Look at Art Program and SJMA’s participatory activity stations in the galleries.",N,Museum,,,,,,3 and up,Tours,,,,,,11,17,11,17,11,17,11,17,11,17,11,17,,Y,Y,N,,,
,Santa Cruz Museum of Art & History,705 Front St,Santa Cruz,CA,95060,(831) 429-1964,www.santacruzmah.org/,"The Santa Cruz Museum of Art & History is a small local art museum located in downtown Santa Cruz. There are three floors of galleries.  The permanent exhibits show art and artifacts to illustrate local immigrant history, and West Coast history. They host large-scale community events on the First and Third Fridays of the month in the evening, as well as ongoing exhibitions, programs, family festivals, and educational experiences.",Y,Museum,,,,,,3 and up,,,,,,,11,17,11,17,11,17,11,21,11,17,11,17,,Y,Y,N,,,
,Triton Museum of Art,1505 Warburton Ave,Santa Clara,CA,95050,(408) 247-3754,www.tritonmuseum.org,"The Triton Museum of Art provides a venue where local artists exhibit their work alongside regional and national artists. Located across the street from the Santa Clara Civic Center, the Museum collects and exhibits contemporary and historical works with an emphasis on artists of the Greater Bay Area. Beautiful grounds to walk and enjoy the sculpture garden.  The museum hosts events for art lovers of all ages. ",N,Museum,,,,,,3 and up,,,,,,,11,17,11,17,11,17,11,17,11,17,12,16,Y,Y,Y,N,,,
,Contemporary Jewish Museum,736 Mission St,San Francisco,CA,94103,(415) 655-7800,www.thecjm.org,"The Contemporary Jewish Museum was founded in 1984 in San Francisco, California. Its mission is to make the diversity of the Jewish experience relevant for a twenty-first century audience through exhibitions and educational programs. The building is beautiful, the layout is nice and the shows interesting. First Tuesdays of the month are free admission for all.",Y,Museum,,,,,,2 and up,Tours,Yerba Buena,,,11,17,11,17,,,11,20,11,17,11,17,11,17,Y,Y,Y,Y,,,
,Museum of the African Diaspora ,685 Mission St,San Francisco,CA,94105,(415) 358-7200,www.moadsf.org,"The Museum of the African Diaspora (MoAD) is dedicated to
sharing the art and stories of African heritage. It showcases the history, art,
and cultural richness that resulted from the migration of Africans throughout
the world. In addition to the art work displayed the museum offers exhibitions that
use projection screens, multimedia images, computers, talking walls, and
interactive tables.",Y,Museum,,,,,,2 and up,Yerba Buena,,,,,,,,11,18,11,18,11,18,,,11,17,,Y,Y,Y,,,
,Chinese Culture Center,750 Kearny St #3,San Francisco,CA,94108,(415) 986-1822,www.c-c-c.org,"The Chinese Culture Center of San Francisco, California, USA, is a pioneer in introducing Chinese culture to the American public through exhibitions and public programming of a broad spectrum of Chinese traditional and contemporary artistic works in multiple disciplines: Visual Arts, Literature, Music and Theater. Centrally located between Chinatown and the Financial District, the Center engages a broad spectrum of audiences from the Chinese community, the city at large, and the greater Bay Area, as well as visitors from across the US and from other countries.",Y,Museum,,,,,,2 and up,,,,,,,10,16,10,16,10,16,10,16,10,16,,,,Y,,N,,,
,Chinese Historical Society of America,965 Clay St,San Francisco,CA,94108,(415) 391-1188,chsa.org,"The Chinese Historical Society of America is a small museum exploring the Chinese immigrant experience
in the U.S. through photos and artifacts. It is the oldest and largest archive and history center
documenting the Chinese American experience in the United States.  It
paints a comprehensive picture of the contribution of Chinese immigrants to the
foundations of the U.S. as well as the customs they brought. It's a great
history lesson. Admission is free. ",Y,Museum,Tours,,,,,2 and up,,,,,,,12,17,12,17,12,17,12,17,11,16,,,,Y,Y,N,,,
,Mcclellan Ranch Park,22221 Mcclellan Rd,Cupertino,CA,95014,(408) 777-3149,http://cupertino.org/index.aspx?page=1006,"McClellan Ranch Park is a 23-acre (93,000 m2) public park located in the Monta Vista neighborhood of Cupertino.  It used to be a horse ranch and still preserves the original ranch house, a working milk barn and livestock barn, and two historical structures moved from other sites, along with a natural reserve in the middle of the park.  Hiking trails, picnic areas, beautiful creek, community garden, playground, kid friendly museum and much more.",N,Museum,,,,,,,,,,,,,,,,,,,15,17,11,14,,,,,,,,,
,Sunnyside Conservatory,236 Monterey Blvd,San Francisco,CA,94131,,http://www.sfparksalliance.org/our-parks/parks/sunnyside-conservatory,"Visit the landmark Sunnyside Conservatory and experience a piece of history. Stroll through the hundred-year-old garden, rejuvenated with a thriving collection of drought-tolerant plants, succulents and palms. The octagonal redwood building, which dates to 1900, has been completely renovated for public use. It now hosts cultural events for the community and is available for private parties by reservation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
