Source,Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Event 1,Event 2,Event 3,Event 4,Event 5,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,Material of playground floor,Water play,Age range of playground,Picnic,BBQ,Images
SF Kids,Fort Funston,Fort Mason,San Francisco,CA,94118,(415) 561-4700,http://www.nps.gov/goga/planyourvisit/fortfunston.htm,"The 200ft high bluffs on the most western edge of San Francisco, Fort Funston contains walking trails accessible to everyone. It is one of the premier hang-gliding spots in the country. ",,Park,,,,,,5 and up,hiking,horseback riding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,San Francisco Botanical Garden: Arboretum and Botanical Gardens,1199 9th Ave,San Francisco,CA,94122,(415) 661-1316,www.sfbotanicalgarden.org,"Welcome to San Francisco Botanical Garden, one of the most diverse gardens in the world. The Botanical Garden is a living museum within Golden Gate Park, offering 55 acres of both landscaped gardens and open spaces, showcasing over 8,000 different kinds of plants from around the world.
With its unique microclimate, San Francisco Botanical Garden is able to recreate conditions of the high elevation tropical cloud forests of Central and South America and Southeast Asia. Rare high elevation palms as well as plants from New Zealand and temperate Asia also thrive here. Largely due to these natural advantages, San Francisco Botanical Garden is known for its unique, diverse and significant botanical collections. ",N,,,,,,,4 and up,Japanese Tea Garden,De Young Museum,California Academy of Sciences,Story Time,,7:30,,7:30,,7:30,,7:30,,7:30,,7:30,,7:30,,Y,Y,,Y,,,,,,,,
,Japanese Tea Garden,"Golden Gate Park, 75 Hagiwara Tea Garden Dr",San Francisco,CA,94118,(415) 752-1171,japaneseteagardensf.com,"Today, the Japanese Tea Garden endures as one of the most popular attractions in San Francisco, featuring classic elements such as an arched drum bridge, pagodas, stone lanterns, stepping stone paths, native Japanese plants, serene koi ponds and a zen garden.  Cherry blossom trees bloom throughout the garden in March and April.",Y,,,,,,,4 and up,Tea House,,,,,9,17,9,17,9,17,9,17,9,17,9,17,9,17,Y,Y,,,,,,,,,,
,Tennessee Valley Beach Hike,591 Tennessee Valley Rd,Mill Valley,CA,94941,(415) 331-1540,http://www.nps.gov/goga/planyourvisit/tennessee_valley.htm,"Tennessee Valley is an amazing offshoot of the Marin Headlands, with hiking trails that suit the whole family. The Tennessee Valley Trail is mostly level; it begins at the parking area and travels 1.7 miles to Tennessee Beach. For the more adventurous hiker, there are a number of other trails leading into the hills above Tennessee Valley.
With its many trails, Tennessee Valley is well suited for the whole family. However, even on leash, dogs are not allowed on any trails in Tennessee Valley except on the Coastal Trail where it crosses the valley, connecting Rodeo Valley and Muir Beach. Dogwalking is allowed on-leash on the Miwok trail from the Tennessee Valley parking area north to Highway 101, and on leash or under voice control in Oakwood Valley which is off Tennessee Valley Road a short distance before you reach the Tennessee Valley parking lot.",N,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,
,West Point Inn,100 Old Railroad Grade,Mill Valley,CA,94979,(415) 388-9955,westpointinn.com,"Secluded among the trees on the upper south slope of Mt. Tamalpais, the Inn was once a stopover for passengers who rode the “Crookedest Railroad in the World” up from Mill Valley to the top of the mountain. The railroad is gone now, but the Inn remains as a haven for hikers and a monument to the rich historic heritage of the region. The sweeping panoramic view from West Point Inn includes much of the East Bay, parts of San Francisco, the Marin Headlands, one tower of the Golden Gate Bridge, and out over the Pacific Ocean.",N,,,,,,,4 and up,Pancake,,,,,9,13,9,13,9,13,9,13,9,13,9,13,9,13,Y,Y,,Y,,,,,,,,
,Filoli Historical House & Garden,86 Canada Road,Woodside,CA,94062,(650) 364-8300,www.filoli.org,"Filoli is a historic site of the National Trust for Historic Preservation and is dedicated to the preservation, interpretation and stewardship of the cultural traditions and natural history of this country estate for public education and enjoyment.
Admission to Filoli allows visitors to explore the historic House and Garden at their leisure. Self-guided booklets and docents are available to answer questions. A 15–minute video on the history of Filoli runs continuously in the Visitor and Education Center.",Y,,Tours,,,,,5 and up,Hike,Boxed lunches,,,,,,10,15:30,10,15:30,10,15:30,10,15:30,10,15:30,10,15:30,Y,Y,,Y,,,,,,,,
,Guadalupe River Park & Gardens,Park Ave & Guadalupe River Trail,Mill Valley,CA,95113,,www.grpg.org,"In the dense urban environment of downtown San Jose, the trails, parks and plazas of the Guadalupe River Park and Gardens not only serve to enjoy and preserve natural ecology, they offer residents and visitors a multitude of ways to recreate, relax, discover and enjoy.
 
Ride, walk run or skate 2.6 miles of trails. Enjoy the public art. Attend a festival, watch the birds, or romp in a playground. Stop and smell the roses, there’s 3,700 varieties to choose from in the Heritage Rose Garden. See the fruit trees that put this valley on the map in the Historic Orchard. Explore the latest in drought tolerant landscaping in the Courtyard Garden. Or cultivate your own plot in the Guadalupe Community Garden. Take a rest at one of the seven Sister City seating areas to simply watch the river flow. Don’t forget to stop by the Visitor Center to sign up for a class or pick up a map.",N,,,,,,,,Rotary Playgarden,Picnic,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,,,
,Aquatic Park,,,CA,,,,,,Stroller Walks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black Diamond Mines Regional Preserve,5175 Somersville Rd,Antioch,CA,94509,(510) 544-2750,www.ebparks.org/parks/black_diamond,"The East Bay Regional Park District began acquiring land for Black Diamond Mines Regional Preserve in the early 1970s. Today, most of the mining district is within the Preserve's nearly 6,096 acres. The area is an ideal location for hiking, picnicking and nature study. Naturalists conduct a variety of programs relating the Preserve's natural and historic resources.",,Park,Mine Tour,,,,,,Camping,hiking,Equestrian Parking,,,8,19,8,19,8,19,8,19,8,19,8,19,8,19,Y,Y,,Y,,,,,,,,
,Crissy Field,1199 E Beach,San Francisco,CA,94129,(415) 561-7690,http://www.presidio.gov/explore/Pages/crissy-field.aspx,"Crissy Field is the Presidio's ""front door."" The northern waterfront offers spectacular views, unparalleled recreational opportunities, and the chance to glimpse rare birds feeding on native plants and frolicking in the restored marsh.
 
The shoreline once housed the first air coast defense station on the west coast, famed for innovation during ""aviation's adventuring years."" _Today, it is the most visited area of the Presidio, with visitors enjoying imaginative new uses inside historic buildings or exploring the wild open spaces restored by the National Park Service and Golden Gate National Parks Conservancy, with generous support from the Evelyn and Walter Haas, Jr. Fund.",,,,,,,,,,,,,,8,19,8,19,8,19,8,19,8,19,8,19,8,19,Y,,,,,,,,,,,
,Crab Cove Visitor Center,1252 McKay Ave,Alameda,CA,94501,(510) 544-3187,http://www.ebparks.org/parks/vc/crab_cove,"Crab Cove Visitor Center at Crown Memorial State Beach in Alameda celebrates 35 years in 2014. Since 1979, we have been connecting people with the marine and shoreline life, as well as Alameda history. You can see bay creatures in the 800-gallon aquarium system, use interactive stations for varying age groups to view microscopic animals, build a crab from the inside out, or get a lug worm's view of the mudflats. You'll see amazing depictions of the underwater world of San Francisco Bay. At the Visitor Center you can also plunge into San Francisco Bay without getting wet, or travel back in time to Alameda's colorful past.",N,,,,,,,,Picnic,Wind surf,Volleyball,,,,,,,10,16,10,16,10,16,10,16,10,16,Y,Y,,Y,,,,,,,,
,Iron Horse Regional Trail,,Danville,CA,94526,,http://www.ebparks.org/parks/trails/iron_horse,"This multi-use, whole-access trail between the cities of Concord and Pleasanton follows the Southern Pacific Railroad right-of-way established in 1891 and abandoned in 1977. The completed Iron Horse Regional Trail, as of 2014, spans a distance of 32 miles. The latest segment of the Trail, which closed a gap of 1.8 miles from the Pleasanton/Dublin BART station to Santa Rita Road in Pleasanton, opened to the public on August 19th, 2014, after almost 30 years of planning and funding efforts.  Representing interagency cooperation and a community-wide effort by individuals and groups, this trail creates an important recreational and commute component for the communities it serves. The 20-foot-wide paved trail connects residential and commercial areas, business parks, schools, public transportation (BART, County Connection), open space and parks, regional trails, and community facilities.",N,,,,,,,,Picnic,hike,,,,5,22,5,22,5,22,5,22,5,22,5,22,5,22,Y,,,Y,,,,,,,,
,Lafayette-Moraga Regional Trail,,Lafayette,CA,94549,,http://www.ebparks.org/parks/trails/lafayette_moraga,"The Lafayette-Moraga Regional Trail, a 7.65-mile linear park, parallels St. Mary's Road through Lafayette and Moraga. It is intended for hiking, bicycling, and equestrian use.
Coursing through the Moraga Valley, connecting Las Trampas Ridge to the Oakland Hills, and the cities of Lafayette and Moraga, this trail corridor has a rich and varied history. This trail was once used by mule trains to carry redwood from Oakland to Sacramento. Later, when the mule trails had passed into history, the lumber was carried by steam trains, including the Oakland-Antioch and Eastern Railroad, the San Francisco-Sacramento, and the Sacramento Northern, for which the easement was historically named. With the abandonment of the railroads the corridor became a utility easement, and, ultimately, with the cooperation of local communities, utility districts and the East Bay Regional Park District, a paved multi-use recreational trail was established serving hikers, bicyclists, and equestrians.",,,,,,,,,,,,,,5,22,5,22,5,22,5,22,5,22,5,22,5,22,Y,,,Y,,,,,,,,
,Lafayette Reservoir Recreation Area,3849 Mt Diablo Blvd,Lafayette,CA,94549,(925) 284-9669,https://www.ebmud.com/recreation/lafayette-reservoir,"Lafayette Recreation Area is an all-year day-use area ideal for hiking, jogging, fishing, boating and picnicking, located off Highway 24 only one mile from the Lafayette BART station.
Times vary during the season. Please check the website for the most up to date hours. 
Dogs are allowed. Animal leashes may NOT be longer than 6 feet in length.",N,,,,,,,,Picnic,playground,biking,boating,hiking,6,21,6,21,6,21,6,21,6,21,6,21,6,21,Y,Y,,Y,,,,,,,,
,Arastradero Preserve,530 Arastradero Rd,Palo Alto,CA,94304,(650) 329-2423,http://www.cityofpaloalto.org/gov/depts/csd/parks/preserves/arastradero/,"Pearson-Arastradero Preserve is a beautiful mixture of rolling savanna grassland and broadleaf evergreen forest. It varies in elevation from 275 feet in the northeast to 775 feet in the southwest. Wildlife abounds on the preserve and it is not uncommon to see deer, bobcats, coyotes, and many varieties of birds. Each area of the preserve has something different to offer, whether it is a view of the bay, a quiet walk through the grasslands, or a snooze by the lake.
Dogs are required to be on leash and under physical control at all times.",N,,,,,,,,Hiking,Biking,Equestrian Trails,,,8,17:30,8,17:30,8,17:30,8,17:30,8,17:30,8,17:30,8,17:30,Y,N,,N,,,,,,,,
,The Dish - Stanford,400 Reservoir Rd,Palo Alto,CA,94305,,http://www.everytrail.com/guide/the-stanford-dish-hike,"The Stanford Dish loop is a popular route for Stanford University students as well as Silicon Valley professionals. Its steep paved trail is suitable for running, walking, and hiking. Bicycles are not allowed. Opening hours vary depending on the month of the year
Times vary during the year, so please see website for the most up to date hours.",N,,,,,,,0 and up,Walking,Stanford,,,,6,19:30,6,19:30,6,19:30,6,19:30,6,19:30,6,19:30,6,19:30,N,N,,Y,,,,,,,,
,Baylands Nature Preserve,2775 Embarcadero Way,Palo Alto,CA,94303,(650) 329-2506,http://www.cityofpaloalto.org/gov/depts/csd/parks/preserves/baylands.asp,"Bounded by Mountain View and East Palo Alto, the 1,940-acre Baylands Preserve is one of the largest tracts of undisturbed marshland remaining in the San Francisco Bay. Fifteen miles of multi-use trails provide access to a unique mixture of tidal and fresh water habitats.
Many consider this area to be one of the best bird watching areas on the west coast. The preserve has a substantial resident population of birds as well as being a major migratory stopover on the Pacific Flyway.",N,,,,,,,0 and up,Biking,Bird Watching,Picnic,,,,,10,17,10,17,14,17,14,17,13,17,13,17,Y,Y,,Y,,,,,,,,
,Bolinas Lagoon Preserve,,Marin County,CA,94924,,http://www.marincountyparks.org/depts/pk/divisions/open-space/bolinas,"When you gaze upon the sparkling waters of this coastal preserve 1077 acres in size, try to imagine what this scene would be like if history had taken a different course. The plan was to “improve” Highway 1 and provide a quick connector to the urban core of the county (and for San Francisco commuters). The lagoon would have been dredged to create a full scale yacht harbor, surrounded by upscale homes. If not for the actions of a few dedicated individuals, this location (and perhaps the entire western portion of the county) may have been overwhelmed by development.",N,,,,,,,,Hiking,Kayak,Fishing,Dogs on leash only,,0,24,0,24,0,24,0,24,0,24,0,24,0,24,Y,,,,,,,,,,,
,Don Edwards San Francisco Bay Wildlife Refuge,1 Marshlands Rd,Fremont,CA,94555,(510) 792-0222,http://www.fws.gov/refuge/Don_Edwards_San_Francisco_Bay,"In the heart of California's high-tech industry lies a 30,000-acre oasis for millions of migratory birds and endangered species.  The nation's first urban national wildlife refuge sits on the southern end of San Francisco Bay.  The refuge, created in 1974, was largely the result of grassroots efforts by the local community to protect the San Francisco Bay ecosystem. ",N,,,,,,,,,,,,,7,18,7,18,7,18,7,18,7,18,7,18,7,18,,,,,,,,,,,,
,Elkhorn Slough Reserve,1700 Elkhorn Road,Watsonville,CA,95076,(831) 728-2822,www.elkhornslough.org,"The Elkhorn Slough National Estuarine Research Reserve is one of 28 National Estuarine Research Reserves established nationwide as field laboratories for scientific research and estuarine education. The Reserve is administered by the National Oceanic and Atmospheric Administration and managed by the California Department of Fish and Wildlife.
The 1700-acre Reserve is a hub of activity and hosts programs that promote education, research, and conservation in Elkhorn Slough. The Visitor Center has award-winning exhibits that invite everyone to explore the Unseen Slough. There are five miles of trails that meander through beautiful oak woodlands, calm tidal creeks, and freshwater marshes. We offer tours on the weekends and special events throughout the year.",N,,tours,,,,,,picnic,,,,,,,,,9,17,9,17,9,17,9,17,9,17,,Y,,,,,,,,,,
,Mid Peninsula Open Space Preserve,330 Distel Cir,Los Altos,CA,94022,(650) 691-1200,www.openspace.org,"The Midpeninsula Regional Open Space District's purpose is to purchase, permanently protect, and restore lands forming a regional open space greenbelt, preserve unspoiled wilderness, wildlife habitat, watershed, viewshed, and fragile ecosystems, and provide opportunities for low-intensity recreation and environmental education.
The District works to form a continuous greenbelt of permanently preserved open space by linking its lands with other public parklands. The District also participates in cooperative efforts such as the Bay Trail, Ridge Trail, and Skyline-to-the-Sea Trail, which are regional trail systems in the Bay Area that include District lands.",,,,,,,,,Stevens Creek Nature Trail,Alpine Pond/Daniels Nature Center,Horseshoe Lake,Deer Hollow Farm,Hiking,8:30,17,8:30,17,8:30,17,8:30,17,8:30,17,,,,,,,,,,,,,,,,
,Point Lobos State Reserve,,Carmel-by-the-Sea,CA,93923,(831) 624-4909,http://www.parks.ca.gov/?page_id=571,"This area contains headlands, coves and rolling meadows. The offshore area forms one of the richest underwater habitats in the world popular with divers. Wildlife includes seals, sea lions, sea otters and migrating gray whales (from December to May). Thousands of seabirds also make the reserve their home. Hiking trails follow the shoreline and lead to hidden coves. The area used to be the home of a turn-of -the-century whaling and abalone industry. A small cabin built by Chinese fishermen from that era still remains at Whalers Cove and is now a cultural history museum.
Please consult website for most up to date hours of opperations.",,,,,,,,,Picnic,hiking,,,,8,,8,,8,,8,,8,,8,,8,,,,,Y,,,,,,,,
,Seacliff State Park,201 State Park Dr,Aptos,CA,95003,(831) 685-6500,http://www.parks.ca.gov/?page_id=543,"This beach is known for its fishing pier and concrete freighter, The Palo Alto. Unfortunately, the ship is unsafe and closed to the public. Only the pier is open for fishing. The beach is also a popular swimming spot. There is a long stretch of sand backed by bluffs. There is a covered picnic facility. The park also has an interpretive center. 
Please consult website for most up to date hours of opperations.",,,,,,,,,Picnic,hiking,,,,8,,8,,8,,8,,8,,8,,8,,Y,,,Y,,,,,,,,
,The Conservatory of Flowers,100 John F Kennedy Dr,San Francisco,CA,94118,(415) 831-2090,www.conservatoryofflowers.org,"The Conservatory of Flowers has captivated guests for more than a century. This gem of Victorian architecture has a long and storied history, and is the oldest public wood-and-glass conservatory in North America. As a city, state and national historic landmark, the Conservatory remains one of the most photographed and beloved attractions in San Francisco.",Y,,,,,,,,,,,,,,,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,Y,Y,,N,,,,,,,,
,Central Park & Recreation Center - San Mateo,50 E 5th Ave,San Mateo,CA,94401,(650) 522-7440,www.cityofsanmateo.org/index.aspx?NID=718,"Central Park is a San Mateo landmark.  From the beautiful gazebo where hundreds of weddings have taken place to the Bianchi mini train that is a perennial favorite of anyone under five, Central Park is San Mateo’s signature park. It has lighted tennis courts, a playground and baseball field.
The Japanese Tea Garden is one of the finest tea gardens in California and was designed by landscape architect, Nagao Sakurai of the Imperial Palace of Tokyo.  It features a granite pagoda, tea house, koi pond and bamboo grove. The Japanese Tea Garden is beautiful throughout the year, but be sure to visit in the late Winter and early Spring when the cherry blossoms are in bloom.",N,,,,,,,,Mini Train,Koi Feeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gamble Garden,1431 Waverley St,Palo Alto,CA,94301,(650) 329-1356,www.gamblegarden.org,"Elizabeth F. Gamble Garden is a non-profit horticultural foundation in Palo Alto, south of San Francisco, Gamble Garden’s two and a half acre property includes formal and demonstration gardens, as well as an historic house, carriage house, and tea house.
The garden is free and open to the public every day during daylight hours. The house is open weekdays from 9 a.m. to 2 p.m.",,,,,,,,,,,,,,9,14,9,14,9,14,9,14,9,14,9,14,9,14,Y,Y,,Y,,,,,,,,
,Gardens at Heather Farm,1540 Marchbanks Dr,Walnut Creek,CA,94598,,gardenshf.org,"The Gardens at Heather Farm is dedicated to inspiring and educating the community about gardening and stewardship practices that preserve and protect the environment.  We have six acres of gardens used in our education programs for people of all ages, but we are also a serene environment for just strolling, resting or picnicking with family and friends.  
We are a 501 (c)(3) non-profit and are self supporting through memberships, fundraisers, private donations, program fees and rental facilities.  Please come visit the Gardens and we'll personally show you around and tell you about our programs and facilities. 
The Garden is open 7 days a week, during daylight hours. At certain times The Gardens may be closed for private events.",N,,Classes,,,,,2 and up,Nature Explorers,Picnic,Heather Farm Park,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,
,Hakone Gardens,21000 Big Basin Way,Saratoga,CA,95070,(408) 741-4994,www.hakone.com,"One of the National Trust for Historic Preservation’s premier sites and nearly a century old, Hakone is the oldest Japanese and Asian estate, retreat and gardens in the Western Hemisphere: 18 acres of magnificent beauty nestled in the verdant hills of Saratoga overlooking Silicon Valley.
This timeless oasis of peace is also available for your special event, including  weddings, birthdays, baby showers, family celebrations, and memorial services.  Additionally, Hakone has become a favorite location for company retreats, off-site business meetings , corporate conferences and seminars.",Y,,Classes,,,,,5 and up,Meditation,Storytelling,Origami,Tea Ceremony,,10,16,10,16,10,16,10,16,10,16,10,17,10,17,Y,,,Y,,,,,,,,
,Japanese Friendship Garden - Kelly Park,1300 Senter Rd,San Jose,CA,95112,,http://www.sanjoseca.gov/facilities/Facility/Details/350,"This beautiful and tranquil garden is an expanse of peace in the middle of the city. The Japanese Friendship Garden (JFG) is a living symbol of the “Sister City” relationship between Okayama, Japan and San José. It serves as a popular setting for the perfect place for weddings and celebrations but it best serves San Jose residents as a place to sit and reflect on the beauty and power of nature.
Hours are 10am to sunset daily. ",,,,,,,,,,,,,,10,,10,,10,,10,,10,,10,,10,,Y,Y,,,,,,,,,,
