Name,Address,City,State,Zip,Phone,URL,Description,Type,Picnic,Family Friendly,Requires Reservations,Tasting Fee,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Open,Sunday Open,Sunday Close,Snugabug Pick
Sullivan Vineyards,1090 Galleron,Rutherford,CA,94573,(707) 963-9646,www.sullivanwine.com,"Tucked away off Galleron Road between Napa Valley's two main thoroughfares, Sullivan Vineyards has been Rutherford's Cabernet hideaway for over 40 years. Founded By Jim and Joanna Sullivan in 1978, this small, family-run...",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Somerston Wine,3450 Sage Canyon Road,St. Helena,CA,94574,(707) 967-8414,www.somerstonwineco.com,"The Somerston Estate is a secluded property high in the Vaca Mountains of the eastern Napa Valley. Since our first vintage in 2007, we have been focused on producing Bordeaux-style wines that reflect the quality and...",Wineries,Y,N,Y,Y,11,19,11,19,11,19,11,19,11,19,11,19,11,19,
Pope Valley Winery,6613 Pope Valley Road,Pope Valley,CA,94567,(707) 965-1246,www.popevalleywinery.com,"Winding through picturesque fields, undulating vineyards and oak studded hills, one gets the feeling of being transported back in time heading northeast away from Silverado Trail. There you will find Pope Valley Winery...",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
HALL Wines,401 St. Helena Hwy South,St. Helena,CA,94574,(707) 967-2626,www.hallwines.com,"HALL Wines, St. Helena & HALL Wines, Rutherford HALL Wines represents critically acclaimed artisan Napa Valley Cabernet Sauvignon from two tasting room and winery locations in St. Helena and Rutherford. Owned by...",Wineries,Y,Y,N,Y,10,17:30,10,17:30,10,17:30,10,17:30,10,17:30,10,17:30,10,17:30,
Alpha Omega Winery,1155 Mee Lane,Rutherford,CA,94573,(707) 963-9999,www.aowinery.com,"Alpha Omega is located in legendary Rutherford in the heart of Napa Valley and is one of Napa's newest boutique wineries. Surrounded by vineyards and mountains, the beauty of this rustic, farm-style winery is as...",Wineries,Y,Y,N,Y,10,18,10,18,10,18,10,18,10,18,10,18,10,18,
Chateau Montelena Winery,1429 Tubbs Lane,Calistoga,CA,94515,(707) 942-5105,www.montelena.com,"A must for wine lovers seeking excellence, the setting is one of the most peaceful in the Napa Valley - a stone castle carved into a hillside overlooking a Chinese garden and lake and vineyards reaching out to the base...",Wineries,Y,N,Y,Y,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,9:30,16,
Kieu Hoang Winery,1285 Dealy Lane,Napa,CA,94559,(707) 253-1615,www.kieuhoangwinery.com,"Making wine is just like composing a poem. Kieu Hoang combines science with art. To represent a new world of wine, Kieu Hoang Winery has chosen to acquire the Michael Mondavi family winery, a legend in winemaking and...",Wineries,Y,N,Y,Y,,,,,,,,,10,17,10,17,10,17,
Bouchaine Vineyards,1075 Buchli Station Road,Napa,CA,94559,(707) 252-9065,www.bouchaine.com,Visit this authentic Napa winery! Bouchaine is the oldest continuously operating winery in the Carneros District – a winery that began making wine long before the region earned its reputation for producing the...,Wineries,Y,N,Y,Y,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,Y
Clos du Val,5330 Silverado Trail,Napa,CA,94558,(707) 261-5200,www.closduval.com,"Clos Du Val, French for “small vineyard estate of a small valley,” was founded in 1972 in the now legendary Stags Leap District by John Goelet and French winemaker Bernard Portet. After a worldwide search to...",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Whitehall Lane Winery,1563 St. Helena Hwy,St. Helena,CA,94574,(707) 963-9454,www.whitehalllane.com,"Whitehall Lane Winery is a small, family owned winery in Napa Valley's historic Rutherford appellation. We own approximately 140 acres of prime Valley-floor vineyards including the Leonardini Vineyard in St. Helena...",Wineries,Y,N,Y,Y,11,18,11,18,11,18,11,18,11,18,11,18,11,18,
Charbay Distillery & Winery,4001 Spring Mountain Road,St. Helena,CA,94574,(707) 963-9327,www.charbay.com,"""One of the most unique & interesting places to visit in Wine Country."" - Frommer's Take a trip up St. Helena's Spring Mountain Road, where you'll find this absolutely unassuming tasting room...more",Wineries,Y,Y,Y,Y,9,16,9,16,9,16,9,16,9,16,10,16,10,16,
Joseph Phelps Vineyards,200 Taplin Road,St. Helena,CA,94574,(707) 963-2745,www.josephphelps.com,"Welcome to Joseph Phelps Vineyards during our exciting ""Year in the Vines."" We invite you to visit our interim Guest Center among the vines to experience the winery's grounds like never before during our...",Wineries,Y,N,Y,Y,10,15:30,10,15:30,10,15:30,10,15:30,10,15:30,10,14:30,10,14:30,
Tamber Bey Vineyards,1251 Tubbs Lane,Calistoga,CA,94515,(707) 942-2100,www.tamberbey.com,"A visit to the Tamber Bey Winery is like nothing else in Napa Valley. The winery is located at the Sundance Ranch in Calistoga, a world-class equestrian facility that is dedicated to training top performance horses. The...",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Sequoia Grove Vineyards,8338 St. Helena Hwy.,Rutherford,CA,94573,(707) 944-2945,www.sequoiagrove.com,"Amongst the natural wood, the copper and the bar carved from a single piece of wood (check it out yourself!); the newly remodeled Sequoia Grove tasting room is just what you'd expect–– warm, welcoming and...",Wineries,Y,N,Y,Y,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,10:30,17,
Nichelini Winery,2950 Sage Canyon Road,St. Helena,CA,94574,(707) 963-0717,www.nicheliniwinery.com,"Homesteaded in 1884, Nichelini is not only one of the oldest continuous winemaking families in the United States, but it will take you back to a simpler time. Upon arrival you will see a snapshot of the Napa Valley in...",Wineries,Y,Y,Y,Y,,,,,,,,,,,11,17,11,17,
Lava Vine,965 Silverado Trail,Calistoga,CA,94515,(707) 942-9500,www.lavavine.com,"In 2000, the Cabral family purchased a property in Franz Valley with an old 4 acre vineyard - here is where our wine story begins. Joe began recovering the steep (45 degrees) vineyard that had originally been planted in Portuguese varietals, joined the home winemakers club and produced his first port.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Paoletti Vineyards,4501 Silverado Trail,Calistoga,CA,94515,(707) 942-0689,http://www.paolettivineyards.com/,"Paoletti Estates Winery is located in Calistoga, an ideal location for making great reds. We have 36 acres planted. We grow all the grapes necessary for making premium Bordeaux blends and Super Tuscan blends. Our first release was in 1994.",Wineries,Y,Y,Y,Y,,,,,,,,,11,17,11,17,11,16,
Madonna Estate,5400 Old Sonoma Road,Napa,CA,94559,(707) 255-8864,www.madonnaestate.com,"Since 1922 the Bartolucci Family has consistently created a perfect marriage of grapes and wine at Madonna Estate. Located in the world-renowned Carneros region, an area known for its fertile lands and cool climate, the Bartolucci family has found success with their organically grown grapes and Estate Bottled wines. In addition to practicing natural farming methods, they also combine traditional and modern winemaking techniques. As the third oldest winemaking family in the Napa Valley, it is important to them that they continue the commitment to farm naturally and preserve the winemaking traditions of past generations.",Wineries,Y,Y,N,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Silenus Vintners,5225 Solano Avenue,Napa,CA,94558,(707) 299-3930,www.silenusvintners.com,"What is today Silenus Vintners began in 1967 as a walnut orchard. The orchard was converted to Cabernet Sauvignon vineyards and the grapes sold to Robert Mondavi, Inglenook and Clos du Val. After discovering that the grapes ended up in the various wineries’ reserve wines, the Newlan Winery was born with their first release in 1980. The winery was the 35th winery in Napa Valley, and quickly became recognized for its red wines, winning awards both internationally and domestically.",Wineries,Y,Y,Y,Y,10,16,10,16,10,16,10,16,10,16,10,16,10,16,
Fontanella Family Winery,1721 Partrick Road,Napa,CA,94558,(707) 252-1017,www.fontanellawinery.com,"In July of 2008, the brand was launched and the Fontanellas started a new chapter in their lives that they had been dreaming of for years. The winery, processes approximately 200 tons of grapes each year for the Fontanella brand and several of Jeff Fontanella’s consulting clients. The Fontanella Family Winery label produces approximately 3,000 cases annually, consisting of Cabernet Sauvignon, Zinfandel and Chardonnay. The winery and brand are truly a passion for Jeff and Karen, and they hope that you feel their commitment in every bottle you open of Fontanella.",Wineries,Y,N,Y,Y,10,16,10,16,10,16,10,16,10,16,10,16,10,16,
Clos Pegase Winery,1060 Dunaweal Lane,Calistoga,CA,94515,(707) 942-4981,www.clospegase.com/,"CLOS PEGASE, the classic Napa Valley destination for award-winning, estate wines and luxury hospitality. Located just down the road from the town of Calistoga and nestled among estate vineyards, Clos Pegase Winery is both an awe-inspiring and welcoming destination.",Wineries,Y,Y,Y,Y,11,17,11,17,11,17,11,17,11,17,11,17,11,17,
Howell at the Moon,425 Cold Springs Road,Angwin,CA,94508,(415) 310-8628,www.howellatthemoonwine.com,Our mission is to offer Cabernet Sauvignon made from the highest quality grapes grown at our vineyard high atop Howell Mountain. These grapes were planted from scratch and all the important elements of wine making researched and controlled to offer a product (to the most critical oenophile) that can compete with the finest Cabs in the world.,Wineries,N,Y,Y,Y,,,,,,,,,,,13,17,,,CONTACT
Kuleto Estate Winery,2470 Sage Canyon Road,St. Helena,CA,94574,(707) 963-9750,www.kuletoestate.com,"Located on the eastern edge of the Napa Valley overlooking Lake Hennessey and the town of Rutherford, this extraordinary mountaintop estate features 82 individual vineyard blocks, three distinctive soil types, and a range of elevations and exposures. From this rich and diverse palette of fruit, Kuleto Estate produces a small portfolio of exceptional estate grown wines.",Wineries,Y,N,Y,Y,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,10:30,14:30,
Jericho Canyon Vineyard,3322 Old Toll Road,Calistoga,CA,94515,(707) 942-9665,www.jerichocanyonvineyard.com,"Following the contours of the land, we planted Cabernet Sauvignon, Merlot, and Cabernet Franc. The vineyard sweeps across the hills on terraces ranging from eight to twenty feet apart. Endless hours are spent on each plant over the course of the growing season – pruning, shoot positioning, thinning, suckering, and leaf removal – to achieve the proper sun exposure. Summer daytime temperatures in Jericho Canyon frequently reach 100 degrees but can drop to 50 degrees at night. These temperature swings, along with the volcanic Boomer gravelly clay loam soils, ensure production of small quantities of rich, full-flavored fruit.",Wineries,Y,Y,Y,Y,,,,,,,,,,,,,,,REQUIRES RESERVATION TO VISIT
David Fulton Winery,825 Fulton Lane,St. Helena,CA,94574,(707) 967-0719,www.davidfultonwinery.com,"Harvested when sugar, acidity, and tannin levels are optimal to produce the quality in which we are committed. Sourced from our estate vineyard as well as the most desired appelations throughout the renowned Napa Valley. Hand picked and double hand sorted to ensure only the highest quality product is used. Aged in French Oak barrels and vinted with experience dating back to the 1800's",Wineries,Y,Y,Y,Y,11,16,11,16,11,16,11,16,11,16,11,16,11,16,
O'Brien Estate,1200 Orchard Avenue,Napa,CA,94558,(707) 252-8463,www.obrienestate.com,"O'Brien Estate is a family owned and operated estate winery located in the Oak Knoll Appellation of the Napa Valley. Set on 40 acres, it is a self-contained estate. Located on the property is the winery, vineyard, home and gardens. 
 
 Our artisan, handcrafted wines are only sold at O'Brien Estate - they are not available at retail stores anywhere in the world due to the limited quantity we make each year and the amount of wine allocated to our members.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Rutherford Grove Winery,1673 St. Helena Hwy South,St. Helena,CA,94574,(707) 963-0544,www.rutherfordgrove.com,"In the mid 1990s, Bob and his wife Sylvia were presented with a rare opportunity. A small winery adjacent to their family´s Rutherford property had become available for purchase. Over the years, Bob and Sylvia had always grown grapes on their land, but they had always sold their fruit to other wine producers. They hadn´t been interested in becoming vintners before, but the acquisition of this new property renewed Bob´s admiration for his family´s business – and for his heritage. In 1994, they opened the doors to Rutherford Grove Winery and resumed making the single vineyard, hand-crafted artisanal wines Bob´s father and grandfather had created there for more than a century before him.",Wineries,Y,N,N,Y,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,
Regusci Winery,5584 Silverado Trail,Napa,CA,94558,(707) 254-0403,www.regusciwinery.com,"Fortunately for us, my grandfather purchased the home ranch in 1932. My father was able to hold on to it through the hard times. In 1985 I started a vineyard management company with 8 acres of vineyard in Yountville. Today, we farm over 2,230 acres of vineyards. In 1996 it made sense to come full circle and start a winery. Our first crush was 1,900 cases. Today, we produce 6,500 cases of Estate Regusci wines. Our respect and understanding of our land has been passed down for three generations and now I am passing it on to the next, always focusing on improving farming practices, winemaking and sustainability. We are proud to share our legacy; who we are and what we do, in every glass.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Dutch Henry Winery,4310 Silverado Trail,Calistoga,CA,94515,(707) 942-5771,www.dutchhenry.com,"When Dutch Henry Winery opened its doors in 1992, the Chafen’s dream was to quietly earn a reputation for quality, passion in winemaking and an easy going approach to sharing their story with visitors to the winery. The dream has blossomed, and each of the Chafens has participated in the evolution of a modest winemaking operation into a producer of ultra premium Napa Valley Wines. In 1999 Dutch Henry Winery was named one of the “top five” wineries to visit while in Napa by the Wall Street Journal.",Wineries,Y,Y,N,Y,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,10,16:30,
Amizetta Estate Vineyard & Winery,1099 Greenfield Road,St. Helena,CA,94574,(707) 963-1460,www.amizetta.com,"Amizetta and Spencer Clark moved to the Napa Valley with one dream, to grow and make world class wines. They knew that many of the world’s top wines were produced from hillside vineyards in Europe. With this in mind, they scoured the Napa Valley for vineyard property and after intensive searching in 1979, Amizetta and Spencer found their perfect vineyard site.
 
 The property is a steep and rocky 40 acre parcel with southern facing slopes at the tail end of Howell Mountain in the Conn Valley region of Napa Valley. With an elevation reaching over 1,000 feet, its beauty is matched only by its views of Lake Hennessey and the Napa Valley. The soil consists of red and grey rock strata called ""sobrante loam."" Amizetta and Spencer knew right away, this was the ideal location for growing world class Cabernets and Bordeaux varietals from traditional hillside terraces.",Wineries,Y,Y,Y,Y,,,,,,,,,,,,,,,"Tours are $50/pp and reservations are required.
We should delete this one"
Ahnfeldt Wines,1245 Main Street,Napa,CA,94559,707 255-7150,ahnfeldtwines.com,"Our goal is to make handcrafted, elegant, complex and yet smooth world-class wines using grapes only from our own vineyards. We developed, planted, and nurtured our vineyards, paying attention to even the smallest detail. Wine begins in the vineyards. When phenomenal grapes are combined with a world class consulting winemaker, the results are some of the finest wines produced in the Napa Valley. We invite you to taste and to enjoy our wines at uncorked at Oxbow. Use the form below to book a tasting now!",Wineries,Y,N,N,Y,11,18,11,18,11,18,11,18,11,18,11,18,11,18,
Corison Winery,987 St. Helena Hwy,St. Helena,CA,94574,(707) 963-0826,www.corison.com,"I handcraft my Napa Valley Cabernet Sauvignons, without compromise, from some of the finest vineyards in the Napa Valley - a region that is among the best places in the world for making Cabernet. These benchland vineyards are located between Rutherford and St. Helena, where deep, stony alluvial soils provide ideal growing conditions for the Cabernet vine. These vines regularly produce some of the most concentrated and superbly ripened fruit anywhere.
 
 My philosophy is to make complex wines that walk the fine line between power and elegance. I employ time-honored winemaking techniques, using only small French oak barrels sourced from several forests for complexity. Mine is a hands-off approach to winemaking; it is my job to let the vineyards speak.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Frank Family Vineyards,1091 Larkmead Lane,Calistoga,CA,94515,(800) 574-9463,www.frankfamilyvineyards.com,"Housed in the historic Larkmead winery in Napa Valley, Frank Family Vineyards produces wines that live up to the heritage of the land on which they are produced.
 
 Our wines are handcrafted in small quantities and are only sold at the winery, and in a handful of select restaurants and retailers.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Bennett Lane Winery,3340 Hwy. 128,Calistoga,CA,94515,(707) 942-6684,www.bennettlane.com,"Randy and Lisa Lynch came to wine through their travels in Italy, where the fruit of the vine is typically a complement to a meal-not the centerpiece. When their growing passion for fine food and wine led them to plant acreage in Napa Valley, Randy and Lisa decided to create a red wine that would easily find a place at the dinner table. Maximus, named after the wine loving, 2nd century Roman Emperor Magnus Maximus, became their initial bottling.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Helena View Johnston Vineyards,3500 Highway 128,Calistoga,CA,94515,(707) 815-2934,http://www.napavintners.com/vineyards/helena-view-johnston-vineyards/,"This organic winery is located on Hwy 128 just a few minutes from Calistoga in a picturesque area noted for its views of Mt St Helena and the Pallisades. The Johnston Family, owners and operators, is dedicated to producing limited quantities of consistently award-winning complex Bordeaux style reds handcrafted solely from grapes grown in Napa Valley. Estate wines come from Cabernet Sauvignon and Franc dry farmed in deep loamy soils grown in accordance with US and International organic standards. Picnic tables and the winery grounds are available for special events on a limited basis by prior arrangement.",Wineries,Y,Y,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Summers Estate Wines,1171 Tubbs Lane,Calistoga,CA,94515,(707) 942-5508,www.summerswinery.com,"Jim Summers originally purchased a 28-acre vineyard in Knights Valley in 1987. Knights Valley is located northwest of Calistoga, between Mount St. Helena and the Alexander Valley. At that time it was primarily Merlot grapes planted on the property 30 years ago by Dan Duckhorn, with some Muscat Canelli. The first production of Summers Ranch Reserve Merlot was the 1992 vintage. We currently produce 900 cases. We also make Petite Sirah from the Knights Valley estate. Knights Valley is one of Sonoma’s warmest appellations, and its volcanic soils and close proximity to the Napa Valley have led to increased interest in Bordeaux varietals from the appellation in recent years.",Wineries,Y,Y,N,Y,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,10:30,17:30,
Robert Keenan Winery,3660 Spring Mountain Road,St. Helena,CA,94574,(707) 963-9177,www.keenanwinery.com,"Chardonnay was the first Keenan wine released and it immediately established the winery as a leading producer of Chardonnay. The Cabernet grapes came into leaf and the resulting Cabernet vintages were immediate successes. The 1978 was voted the best California Cabernet of that vintage. The 1986 Cabernet was acclaimed as the 42nd best Cabernet in the world by Wine Spectator. In 1978, Keenan purchased a small volume of Merlot grapes as a way to also acquire some desired Chardonnay grapes. The resulting Merlot proved extremely popular and Merlot became a permanent part of the winery's selection. The reputation of the Keenan Merlots was solidified in 1988 when tastings of the Keenan Merlots against the world famous Petrus wines (Merlots) resulted in a virtual draw.",Wineries,Y,N,Y,Y,10,17,10,17,10,17,10,17,10,17,10,17,10,17,
Anderson's Conn Valley Winery,680 Rossi Road,St. Helena,CA,94574,(707) 963-8600,www.connvalleyvineyards.com,"Anderson’s Conn Valley Vineyards in Napa is just a short drive from downtown St. Helena, and a charming timepiece of a traditional Napa winery. Featuring world-class fine wines at affordable prices, Conn Valley Vineyards is lucky enough to sit in the lap of Napa, affording their talented winemakers access to some of the finest grapes in the world. With this year vintages offering exceptional balance and complexity due to extended maturation on the vine, Anderson’s Conn Valley Vineyards has produced some truly spectacular wines; including crisp, vivacious whites and lush, textured red wines.",Wineries,Y,Y,Y,Y,9,17,9,17,9,17,9,17,9,17,,,,,
Tres Sabores,1620 South Whitehall Lane,St. Helena,CA,94574,(707) 967-8027,tressabores.com,"Rutherford today is 3,200 acres of vineyard (four Central Parks), 40 wineries and one fantastic taqueria in the heart of the Napa valley, with a group of growers dedicated to fine wine. In 1994 the Rutherford Dust Society was formed to honor Rutherford’s history and to strengthen its community. Recently, an effort has been undertaken by the Dust Society to restore the Napa river, which cuts through the heart of the appellation. Commitments such as this are emblematic of the connection the Rutherford community shares with the soil and water of the area; this connection is central to Rutherford’s continued unique place in the wine world",Wineries,Y,Y,Y,Y,10:30,15:30,10:30,15:30,10:30,15:30,10:30,15:30,10:30,15:30,10:30,15:30,10:30,15:30,
Reverie Winery,1520 Diamond Mountain Road,Calistoga,CA,94515,(707) 942-6800,www.reveriewine.com,"Reverie is located on Diamond Mountain in the northern section of the Napa Valley. The total 40 acre property has 30 acres planted in 9 different varieties of grapes. The vineyard’s elevation is not very high above sea level, and yet, from the base to the top, one of the steepest in the Napa Valley. It faces south and gets plenty of midday sun which helps to fully mature the grapes even in a cooler season. It can get quite warm up on the mountain, but during the night, the vineyard receives cool breezes from the Russian River area, which is beneficial to the grapes.
 Today Reverie has nine varieties of grapes–Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot, Malbec, Barbera, Tempranillo, Grenache, and Roussanne. The vineyard is still primarily Cabernet Sauvignon, with 3 clones in 5 different sections. It is interesting that, from year to year, as we earmark which Cabernet Sauvignon grapes will be used in our flagship Special Reserve Cabernet Sauvignon, we find no pattern or consistency with either the section or the clone. But, the absolute best sections of grapes are used each year to make the Special Reserve.",Wineries,Y,N,Y,Y,10,16,10,16,10,16,10,16,10,16,10,16,10,16,
Farella Vineyard,2222 North 3rd Avenue,Napa,CA,94558,(707) 254-9489,farella.com,"The hillside vineyard is in the heart of the Coombsville-Napa Valley AVA. It is set against the Vaca Mountains just east of the town of Napa with vineyard elevations ranging between 300 and 500 feet. It includes 26 acres of vines originally planted in 1979 to Merlot, Cabernet Sauvignon, Syrah, Chardonnay and Sauvignon Blanc. The soil at the top is a stony loam which dovetails into volcanic ash and gravelly loam at the base of the vineyard. There are also 30 acres set aside as untouched oak woodland on the property which partially surrounds the winery. 
 
 A total of 1800 cases are now made at Farella Vineyard divided between Merlot, Cabernet Sauvignon, Syrah, Sauvignon Blanc and Malbec.",Wineries,Y,N,Y,Y,,,,,,,,,,,,,,,
Von Strasser Winery,1510 Diamond Mountain Road,Calistoga,CA,94515,(707) 942-0930,www.vonstrasser.com,"A visit to von Strasser winery is truly a unique experience. As you drive up Diamond Mountain Road, you leave the valley floor and the crowds behind you and enter a property which many describe as ""early Californian."" However, the beauty of the setting is second only to the quality of the wine and personalized attention you will receive. During your visit, you will learn about our winery and be able to taste and purchase unique, single-vineyard bottlings which are rarely available in the marketplace.",Wineries,Y,N,Y,Y,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,
Schweiger Vineyards,4015 Spring Mountain Road,St. Helena,CA,94574,(707) 963-4882,www.schweigervineyards.com,"The Schweigers sold their renowned fruit to Joe Cafaro, ZD, Newton and Stags Leap Winery. In 1994, Schweiger Vineyards became a bonded winery and the family began bottling wine under their own label, under the direction of son, Andrew Schweiger, a UC Davis grad who learned the trade at several of the industry’s top wineries. The family continued selling the majority of their grapes until 1999 when they began using 100 percent of their estate fruit for The Schweiger Vineyards label. Today, the family works together to farm 35 acres of vineyards producing about 5,000 cases each year. The primary varietals continue to be Cabernet Sauvignon and Chardonnay, but we also farm micro-blocks of Cabernet Franc, Malbec, Merlot, and Petite Sirah.",Wineries,Y,N,Y,Y,10,16,10,16,10,16,10,16,10,16,10,16,10,16,
Krupp Brothers,3267 Soda Canyon Road,Napa,CA,94558,(707) 226-2215,www.kruppbrothers.com,"Rising into and over the fogline of Napa Valley’s eastern mountains, Stagecoach Vineyard and Krupp Brothers Vineyard boast thin, rocky volcanic soils ideal for growing world-class wine grapes.
 
 Farmed sustainably, each vineyard is planted with a permanent cover crop to curtail erosion, and viticulturist Gabrielle Shaffer employs a minimum of pesticides, fertilizer, and water on each vine block. Stretching over 1,100 contiguous acres, the undulating, varied terrain creates diverse meso-climates and soil conditions that are distinctively suited to the 17 different varieties grown in these two vineyards.
 
 In addition to this varietal variation, we have 16 different clones of Cabernet Sauvignon, which gives our winemakers a diverse palette from which to create wine. Every cluster of tiny, intense mountain berries is handpicked, gently de-stemmed into small vessels, and thoughtfully matched to select barrels in order to create concentrated, textured wines with superior complexity.",Wineries,Y,N,Y,Y,11,18,11,18,11,18,11,18,11,18,11,18,11,18,
