Place Name,Address,City,State,Zip,Phone,Website,Description,Paid,Category / Type,Parking,Restroom,Change table,Stroller trail,Playground,Enclosed playground,"Material of playground floor (rubber, grass, dirt, sand, concrete, wood chip/mulch, asphalt) ",Water play,Sand pit,Toddler Playground,Pre-schooler Playground (2-5) ,School aged Playground (5-12),Picnic table,BBQ,Snugabug Pick,Photos
Becky Temko Tot Park,2424 Roosevelt Way,Berkeley,CA,94703,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Becky_Temko_Tot_Park.aspx,,,,N,N,,,Y,N,sand,N,Y,Y,Y,N,Y,N,,Y
Christopher Park,Near 5214 Diamond Heights Blvd,San Francisco,CA,94131,,http://www.sfparksalliance.org/our-parks/parks/christopher-playground,"This playground has a play structure with a sand pit. There is also a softball field, tennis court, and basketball court. A nice area to take dogs for walks; however, it is not an official ""off-leash"" area. In addition, there is a clubhouse and rest rooms on site.",,,N,N,,Y,Y,N,sand,N,Y,Y,Y,Y,N,N,,Y
Alamo Creek Park,7601 Shady Creek Rd,Dublin,CA,94568,,http://www.dublin.ca.gov/Facilities/Facility/Details/2,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,N,,,,Y
City Hall Play Area,Miller Ave & Walnut Ave,South San Francisco,CA,94080,,,,,,,,,,,,,,,,,,,,,
Cow Hollow Playground,1 Miley St,San Francisco,CA,94123,,,,,,N,Y,,N,Y,Y,sand,N,Y,Y,Y,N,N,N,Y,
Crocker Galleria Roof Terrace,50 Post St.,San Francisco,CA,94101,415 393 1505,,,,,,,,,,,,,,,,,,,,
Cupid's Span,The Embarcadero at Folsom St,San Francisco,CA,94107,,,,,,,,,,,,,,,,,,,,,
Alviso Marina County Park,1195 Hope St,Alviso,CA,95002,408 262 6980,,,,,,,,,,,,,,,,,,,,
Buena Vista Park,Mackintosh St. & Canyon Heights Dr.,Fremont,CA,94539,,,,,,,,,,,,,,,,,,,,,
Andrew Spinas Park,2nd Ave & Bay Road,Redwood City,CA,94061,,,,,,N,Y,N,,Y,Y,mulch,Y,N,Y,Y,Y,Y,N,,Y
Coffey Park,1624 Amanda Pl,Santa Rosa,CA,95403,,http://ci.santa-rosa.ca.us/departments/recreationandparks/parks/cityparks/listofparks/Pages/CoffeyPark.aspx,,,,N,N,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,Y,,Y
California Terrace Park,Pond Dr. & Fieldstone Dr.,Fremont,CA,94536,,,,,,N,N,,,Y,N,rubber,N,N,Y,Y,Y,,,,
Dixon Landing Park,Jurgens Dr. &  Gingerwood Dr.,Milpitas,CA,95035,,,,,,Y,Y,,,Y,N,sand,N,Y,Y,Y,Y,Y,Y,,
Avenue Terrace Playground,Jordan Rd and Bennett Pl,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Azule Park,12239-12249 Goleta Ave,Saratoga,CA,95070,,,,,,N,N,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,Y
Bachman Park,Bachman Ave at Belmont St,Los Gatos,CA,95032,,http://www.losgatosca.gov/899/Bachman-Park,"A picturesque downtown neighborhood park with a playground, picnic tables, basketball court, and lawn area.",,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,N,N,N,,Y
Bale Grist Mill State Historic Park,3369 Saint Helena Hwy N,St. Helena,CA,94574,707 942 4575,,,,,,,,,,,,,,,,,,,,
Central Park,Palm Ave. & Lansdale Ave. ,Millbrae,CA,94030,650 259 2360,http://www.ci.millbrae.ca.us/index.aspx?page=267,"Central Park is located east of the Recreation Center, this 13-acre park is considered Millbrae’s top recreational area. Residents and visitors enjoy using this park for family outings, birthdays, weekend BBQ’s, play, and relaxing. During the summer months Millbrae hosts Concerts in the Park and other various activities bringing numerous people to this beautiful area. You will rarely see this park empty. ",,,Y,Y,,,Y,N,"rubber, mulch",N,N,Y,Y,Y,Y,,,Y
Belgatos Park,308 Belgatos Ln,Los Gatos,CA,95032,,http://www.losgatosca.gov/900/Belgatos-Park,"Belgatos Park is located off of Blossom Hill Road at the end of Belgatos Road. Limited on site parking is available.
 
Natural woodlands and wildlife abound in this beautiful 17 acre park. The park offers a variety of experiences for hikers, bicyclists, and equestrians on the 2 miles of trails. These trails connect to the Santa Rosa Open Space and the Heintz Open Space. Within the park is a playground, restroom, picnic tables, and lawn areas.",,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,Y
Beresford Park,2720 Alameda de las Pulgas,San Mateo,CA,94403,650 522 7440,,,,,Y,Y,,,Y,N,sand,N,N,Y,Y,Y,Y,Y,,
Dolores Park,19th St & Dolores St,San Francisco,CA,94114,,http://www.sfparksalliance.org/our-parks/parks/mission-dolores-park,Mission Dolores Park is one of the most popular parks in San Francisco with a local Mission District feeling. The playground has great climbing structures and sand area. Lots of grassy area for picnics. Best during the week as it can be overcrowded with picnickers on the weekends. ,,,,,,,,,,,,,,,,,,Y
Ashland Park,1530 167th Ave,San Leandro,CA,94578,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Boone Acres Park,Davona Dr & Westwood Ave,San Ramon,CA,94583,,,,,,N,Y,,Y,Y,N,sand,N,Y,Y,Y,Y,Y,Y,,
Boothbay Park,Edgewater Blvd at Boothbay Ave,Foster City,CA,94404,650 286 3380,http://www.fostercity.org/parksandrecreation/Boothbay-Park.cfm,"Boothbay Park offers 11.2 acres of playground area, a sand volleyball pit, lawn area, a basketball court, four tennis courts, a tiny tot play area, barbecue pits, a small amphitheater seating area, and restroom facilities.
The large covered picnic pavilion area is ideal for family or company picnics and accommodates up to 100 people. Interested? Call (650)286-3380 to check availability.",,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,N,Y,,Y
Briones Regional Park,2537 Reliez Valley Rd,Martinez,CA,94553,888 327 2757,,,,,,,,,,,,,,,,,,,,
Berryessa Creek Park,3050 Berryessa Road,San Jose,CA,95132,408 535 3570,,,,,N,N,,,Y,N,rubber,N,N,Y,Y,Y,Y,Y,,
Almond Park        ,1525 Almond Avenue,Livermore,CA,94550,,,,,,N,Y,,Y,Y,N,mulch,N,Y,Y,Y,N,Y,N,,
Burgess Skate Park,701 Laurel St,Menlo Park,CA,94025,650 330 2200,,,,,,,,,,,,,,,,,,,,
Burton Park,1070 Cedar St,San Carlos,CA,94071,,,,,,Y,Y,Y,Y,Y,Y,rubber,Y,Y,Y,Y,Y,Y,Y,Y,Y
Hall Memorial Park,La Honda Dr,Milpitas,CA,95035,,,,,,Y,Y,,,Y,,,,,,,,Y,Y,,
Castro Valley Community Center-Park,18988 Lake Chabot Rd,Castro Valley,CA,94546,510 881 9897,,,,,Y,Y,,,Y,Y,"mulch, concrete, sand",Y,Y,Y,Y,Y,Y,N,,
Brigadoon Park,Brigadoon Way & Daniel Maloney Dr.,San Jose,CA,95121,,,,,,N,N,,,Y,N,"rubber, mulch",N,N,Y,Y,Y,Y,Y,,
Centennial Park,24000 Amador St,Hayward,CA,94541,510 881 6750,,,,,N,N,,N,Y,N,,N,N,Y,Y,Y,Y,Y,,
Centerville Community Park,3355 Country Dr,Fremont,CA,94536,,,,,,Y,Y,,,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Casanova Park,4012 Casanova Dr,San Mateo,CA,94403,650 522 7434,,,,,N,Y,,,Y,Y,rubber,N,Y,Y,Y,Y,N,N,,
Brooktree Park,Fallingtree & Flickinger,San Jose,CA,95131,,,,,,N,N,,,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,
Arbolado Park,Arbolado Dr. & Sutton Dr.,Walnut Creek,CA,94598,,http://www.walnut-creek.org/citygov/depts/ps/parks/arbolado.asp,,,,Y,Y,,N,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Cleveland Cascade,2300 Lakeshore Ave,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Cedar Rose Park,1300 Rose St,Berkeley,CA,94704,510 981 6700,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Cedar-Rose_Park.aspx,,,,N,Y,,,Y,Y,"rubber, sand",N,N,Y,Y,Y,Y,Y,,Y
Cordelia Community Park,1300 Gold Hill Rd,Fairfield,CA,94534,,,,,,,,,,,,,,,,,,,,,
Central Park Soccer Fields,1110 Stevenson Blvd,Fremont,CA,94538,510 790 5520,,,,,,,,,,,,,,,,,,,,
Cuernavaca Park,Hunt and Alcazar,Burlingame,CA,94010,650 558 7200,https://www.burlingame.org/index.aspx?page=419&recordid=180,"Located in the northwest corner of Burlingame, Cuernavaca Park boasts a spectacular view of the Bay. It has radical elevation changes allowing the park to serve as a major green belt as well as a site for youth baseball and softball games. The children’s playground and basketball court are located at the highest elevation on the site. Park users often pause to view planes landing at the San Francisco airport. Apart from the baseball field the park is designed for casual neighborhood use.",,,Y,Y,,N,Y,N,rubber,N,Y,Y,Y,Y,Y,N,,Y
Cuesta Park,615 Cuesta Dr,Mountain View,CA,94043,,,,,,Y,Y,,Y,Y,N,rubber,N,Y,Y,Y,Y,Y,Y,,Y
Del Medio Park,380 Del Medio Ave,Mountain View,CA,94040,650 903 6326,,,,,,,,,,,,,,,,,,,,Y
Depot Park,270 1st St W,Sonoma,CA,95476,,,,,,Y,Y,,N,Y,N,sand,N,Y,Y,Y,N,Y,Y,,
Civic Park,1375 Civic Dr,Walnut Creek,CA,94596,,http://www.walnut-creek.org/citygov/depts/ps/parks/civic.asp,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,Y
Diablo Vista Park,1000 Tassajara Ranch Dr,Danville,CA,94526,,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Diablo-Vista/,"This 20-acre park is known for the mosaic water-snake that winds down a hillside. The park has a children's play area, sand volleyball court, covered picnic area, lighted sports fields, and two tennis courts. The sports fields, tennis courts, picnic area, and a snack shack are available to rent 
Got a younger child who likes to explore? The playground located at Diablo Vista Park is ideal for kids 4 and under. Affectionately known as ""Snake Park,"" this park's pint-sized climbing structures, bucket swings and large sandy area is perfect for toddlers. The park is divided into three play areas: one with small buildings, one with a climbing structure and slides, and one with swings.
The center point of the park is a large tile snake. The snake, topped with fountains and a cement pad, slithers down a hill, offering pint-sized climbers many different paths to explore. Kids who climb the snake will be treated to not only a bird's eye view of the park, but also a few fountains for water play.",,,Y,Y,,Y,Y,N,"mulch, rubber",Y,N,Y,Y,N,Y,,,Y
Dimond Park,3860 Hanly Rd,Oakland,CA,,510 482 7831,,,,,,,,,,,,,,,,,,,,
Douglass Playground,26th St & Douglass Ave,San Francisco,CA,94199,,http://www.sfparksalliance.org/our-parks/parks/douglass-playground,"Renovated and reopened in 2002, Douglass Playground has an excellent hillside location complete with trees and rock outcroppings on two levels. The lowest level includes a Clubhouse, children's play area, informal lawn areas and tennis courts. The upper level is heavily wooded and contains a baseball field. There are picnic tables, restrooms, and it is quite dog friendly!",,,N,Y,,Y,Y,N,"sand, rubber",N,Y,Y,Y,Y,Y,N,,Y
Duboce Park,Duboce Ave and Noe St,San Francisco,CA,94117,,http://www.sfparksalliance.org/our-parks/parks/duboce-park-harvey-milk-center,"Duboce Park features baby swings, play structures for kids and a sand play area. There is also a basketball court. The restrooms are located at the adjacent Harvey Milk Rec Center. The large grass field is a mecca for local dogs.
The park is located right next to the Harvey Milk Recreational Center, which offers a wealth of community programs which are free are very inexpensive.",,,,,,,,,,,,,,,,,,Y
Earl J Carmichael Park,3445 Benton St,Santa Clara,CA,95051,408 615 2200,,,,,,,,,,,,,,,,,,,,Y
Eleanor Pardee Park,851 Center Dr,Palo Alto,CA,94309,,,,,,N,N,,Y,Y,Y,"mulch, rubber",Y,Y,Y,Y,N,N,N,,Y
Bray Commons Park,Keegan St and Finnian Way,Dublin,CA,94568,,http://www.dublin.ca.gov/Facilities/Facility/Details/4,,,,N,Y,,Y,Y,Y,mulch,N,N,Y,Y,Y,Y,Y,,Y
De Anza Park,1150 Lime Dr,Sunnyvale,CA,94087,,,,,,Y,Y,,,Y,N,"sand, rubber",N,N,Y,Y,Y,Y,Y,,Y
Everett Alvarez Jr. Park,2280 Rosita Ave,Santa Clara,CA,95050,,,,,,N,Y,,Y,Y,N,"rubber, sand",N,Y,Y,Y,Y,Y,Y,,Y
Encinal Park,999 Corte Madera Ave,Sunnyvale,CA,94085,408 730 7751,,,,,,,,,,,,,,,,,,,,
FM Smith Park,1969 Park Blvd,Oakland,CA,,,,,,,,,,,,,,,,,,,,,,
Fort Baker,601 Murray Cir,Sausalito,CA,94965,,,,,,,,,,,,,,,,,,,,,
Coyote Hills Regional Park,8000 Patterson Ranch Rd,Fremont,CA,94555,510 544 3220,,,,,,,,,,,,,,,,,,,,
Cherryland Park,Grove Way & June Ct.,Hayward,CA,94541,,,,,,N,Y,,Y,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Cahalan Park,Cahalan Ave and Pearlwood Wy,San Jose,CA,95123,,,,,,Y,Y,,,Y,N,"rubber, mulch",N,N,Y,Y,Y,N,N,,Y
Charlie Dorr Park,2208 Acton St,Berkeley,CA,94702,,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Charlie_Dorr_Mini_Park-.aspx,,,,N,N,,,Y,Y,sand,N,Y,N,Y,N,N,N,,Y
Fort Mason Community Garden,Pope Rd.,San Francisco,CA,94109,,,,,,,,,,,,,,,,,,,,,
Glen Canyon Park,Elk St & Chenery Street,San Francisco,CA,94131,,http://www.sfparksalliance.org/our-parks/parks/glen-canyon-park,"Glen Canyon Park has hiking trails to explore, plus a rec center with several facilities available to the public: two baseball fields, a tennis court, as well as George Christopher Playground.",,,,,,,,,,,,,,,,,,Y
Calabazas BMX Park,Rainbow Drive & Blaney Avenue,San Jose,CA,95129,,,,,,Y,Y,,,Y,N,"rubber, mulch",N,N,Y,Y,Y,Y,Y,,
Cataldi Park,2900 Cataldi Dr,San Jose,CA,95132,,,,,,Y,Y,,,Y,N,"rubber, mulch",N,,Y,Y,Y,Y,Y,,
Hap Magee Ranch Park,1025 La Gonda Way,Danville,CA,94526,925 314 3484,http://www.danville.ca.gov/Things-To-Do/Parks/Community-Parks/Hap-Magee-Ranch/,"Hap Magee Ranch Park (1025 La Gonda Way). Hap Magee has a storied past. A barn façade at the park entrance commemorates the park’s former life as a ranch for longhorn steer. Before the cattle called it home, the site was a summer camp for San Francisco orphans, known as Camp Swain. Look for a drinking fountain commemorating Camp Swain with a plaque and a brick rendering of children playing.
Hap Magee’s water feature is a combination of metal tubes that form a tunnel with water spraying inside as kids run through, and water spraying up from the ground. A motion sensor activates the feature on a random circuit. This 17-acre park also has walking trails, separate play areas for younger and older children, picnic areas, and a dog park.",,,Y,Y,,,Y,N,"sand, mulch",Y,Y,Y,Y,N,Y,,,Y
East Avenue Park,3221 East Ave,Hayward,CA,94541,,,,,,Y,Y,,Y,Y,N,mulch,N,N,Y,Y,Y,Y,N,,
Gordon E. Oliver Eden Shores Park,2841 Sea Haven Ct,Hayward,CA,94545,,,,,,Y,Y,,Y,Y,N,mulch,N,N,N,Y,Y,Y,N,,
Helen Putnam Regional Park,411 Chileno Valley road,Petaluma,CA,94952,707 433 1625,,,,,,,,,,,,,,,,,,,,
Cimarron Park,736 Pride St,San Jose,CA,95132,,,,,,N,N,,,Y,N,mulch,N,Y,Y,Y,Y,Y,N,,
Henry Schmidt Park,555 Los Padres Boulevard,Santa Clara,CA,95050,,,,,,,,,,,,,,,,,,,,,Y
Henry Seale Park,3100 Stockton Pl,Palo Alto,CA,94303,,,,,,,,,,,,,,,,,,,,,Y
Hidden Villa,26870 Moody Rd,Los Altos Hills,CA,94022,650 949 8641,,,,,,,,,,,,,,,,,,,,
Edenvale Garden Park,Edenvale Ave & Eagle Rock Rd,San Jose,CA,95109,,,,,,Y,Y,,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,
Golden Gate Heights Park,12th Ave & Rockridge Dr,San Francisco,CA,94116,,,,,,,,,,,,,,,,,,,,,
Emma Prusch Farm Park,647 S King Rd,San Jose,CA,95116,408 794 6262,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
Huckleberry Botanic Regional Preserve,Skyline Blvd Between Broadway Ter and Snake Rd,Oakland,CA,,888 327 2757,,,,,,,,,,,,,,,,,,,,
Bayport Park,Mosely Ave & King Fisher Ave,Alameda,CA,94501,,http://alamedaca.gov/recreation/bayport-park,,,,Y,Y,,,Y,Y,mulch,N,N,Y,Y,N,N,N,,Y
Codornices Park,1201 Euclid Ave,Berkeley,CA,94708,510 981 6700,http://www.ci.berkeley.ca.us/Parks_Rec_Waterfront/Trees_Parks/Parks__Cordornices_Park.aspx,,,,N,Y,,,Y,Y,sand,N,Y,Y,Y,Y,Y,N,,Y
Catamaran Park,Catamaran & Shell Blvd,San Mateo,CA,94404,,,,,,N,Y,,Y,Y,N,mulch,N,Y,N,Y,N,N,N,,
Crack Park,Villa Savona Ct,Fremont,CA,94539,,,,,,,,,,,,,,,,,,,,,
"Central Park, City of San Mateo",50 E 5th Ave,San Mateo,CA,94010,650 522 7530,,,,,Y,Y,N,,Y,N,mulch,N,Y,Y,Y,Y,Y,Y,,Y
Joaquin Miller Park,Joaquin Miller Rd & Sanborn Dr,Oakland,CA,,510 238 7275,,,,,a,,,,,,,,,,,,,,,
Flickinger Park,Flickinger Ave & Doxey Pl,San Jose,CA,95131,,,,,,Y,Y,,,Y,N,mulch,N,N,Y,Y,Y,Y,Y,,
